#Code	Type moteur	Désignation
4HL	DW12CTED4	2.2 HDi 204
4HP	DW12BTED4	2.2 HDi 173 – 120kW
4HT	DW12BTED4	2.2 HDi 173
5FV	EP6CDT	1.6 THP 16V 156
5GF	EP6FADTXD	1.6 PureTech 16v 180
6FY	EW7A	1.8 16V 125
9HZ	DV6TED4	1.6 HDi 110
9HD	DV6TED4	1.6 HDi 110
9HL	DV6CTED4	1.6 HDi 115
9HP	DV6DTED	1.6 HDi FAP 92 cv
AHR	DW10FD	2.0 BlueHDi 150
AHX	DW10FD	2.0 HDi 150 FAP
AHW	DW10FC	2.0 BlueHDI 180
BHY	DV6FD	1.6 BlueHDi 99 cv
BHW	DV6FE	1.6 BlueHDi S&S 75 cv
BHX	DV6FC	1.6 BlueHDi FAP 116 cv
BHZ	DV6FC	1.6 BlueHDi EAT6 S&S 120 cv
HMR	EB2FA	11.2 VTi PureTech 12V 83 cv
HNP	EB2ADT	1.2 THP PureTech 12V S&S 110 cv
HNS	EB2ADTS	1.2 THP PureTech 12V S&S 131 cv	
HNY	EB2DTS	1.2 THP 12V AT6 S&S 130 cv
HNZ	EB2DT	1.2 THP PureTech 12V EAT6 S&S 110 cv
RFJ	EW10A	2.0 16V 143
RHA	DW10CTED4	2.0 HDi 16V FAP 140 cv
RHR	DW10BTED4	2.0 HDi 138
RHF	DW10BTED4	2.0 HDi 138
RHH	DW10CTED4	2.0 HDi 163
UHZ	DT17BTED4	2.7 V6 HDi 204
X8Z	DT20C	3.0 V6 HDi 240
XFV	ES9A	3.0 V6i 24V 210
YHS	DV5RCE	1.5 BlueHDi 16V S&S 110 cv
YHZ	DV5RC	1.5 HDI 130 - 96KW
YHY	DV5RD	1.5 BlueHDi 16V S&S 102 cv
