#letter plant
A	Setubal/Guarda (Portugal)*
B	Batilly [SOVAB]
C	Suc Creil*
D	Douai
E	Palencia (Espagne)
F	Flins
G	Grand Couronne* > Novo Mesto (Slovénie)
H	Rib-Haren (Belgique)*
J	Billancourt > Curitiba (Brésil)
K	Dieppe [Alpine]
L	Cordoba (Argentine)
M	Medellin (Colombie)
N	Sahagun (Mexique)*
O	Technocentre Guyancourt
P	Vallejo (Mexique)*
Q	Kenosha*
R	Bursa (Turquie)
S	Sandouville
T	Romorantin [MATRA]*
U	Maubeuge
V	FASA (Espagne)
W	Valladolid (Espagne)
X	Heuliez (Espagne)*
Y	Novo Mesto (Slovénie)
Z	Bramalea (Canada)*
