#VIN	Size	Type	Fuel	Valvetrain	Engine Family/Notes/Applications
A	2.7L	I4	Gas	DOHC, 16 valve	MPI. Dual VVT-i. Toyota 1AR-FE engine. Toyota Venza ('10-'15 & '16 in Canada), Highlander ('10-'19), Sienna ('11-'12 & '13 in Canada).
A	2.0L	I4 Turbo IC	Gas	DOHC, 16 valve	D-4ST Direct/Port injection. Dual VVT-i w/intake VVT-iW. Otto/Atkinson cycles. Toyota 8AR-FTS engine. Lexus NX200t ('15-'17), NX300 ('18-'19), IS200t ('16-'17), IS300 RWD ('18-'19), RC200t ('16-'17), RC300 RWD ('18-'19), GS200t ('16-'17), GS300 ('18-'19).
A	1.8L	I4	Gas	DOHC, 16 valve	MPI. Valvematic. Toyota 2ZR-FAE engine. Scion iM ('16), Toyota Corolla iM ('17-'18).
A	1.8L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 2ZR-FXE engine + 1NM (2 Front motors). Lithium-ion Battery Pack. Toyota Prius (Two Eco, Three, Three Touring, Four, Four Touring trim levels) ('16-'18), Prius 2wd ('19-'22).
A	1.8L	I4	Gas-Electric PHEV	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 2ZR-FXE engine + 2 Front motors: 1NM (MG2), 1SM (MG1). Lithium-ion Battery Pack. Toyota Prius Prime ('17-'22).
A	2.5L	I4	Gas-Electric Hybrid	DOHC, 16 valve	D-4S Direct/Port injection. Dual VVT-i w/intake VVT-iE. Atkinson cycle. Toyota A25A-FXS Dynamic Force engine + 5NM (2 Front motors). Nickel-metal hydride Battery Pack. Toyota Highlander Hybrid 2wd ('20-'21).
A	2.5L	I4	Gas-Electric Hybrid	DOHC, 16 valve	D-4S Direct/Port injection. Dual VVT-i w/intake VVT-iE. Atkinson cycle. Toyota A25A-FXS Dynamic Force engine + 3NM (2 Front motors), 4NM (1 Rear motor). Nickel-metal hydride Battery Pack. Toyota Crown Hybrid ('23-).
B	2.4L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 2AZ-FXE engine + 2JM (2 Front motors). Nickel-metal hydride Battery Pack. Toyota Camry Hybrid ('10-'11), Lexus HS250h ('10-'12).
B	3.5L	V6	Gas-Electric Hybrid	DOHC, 24 valve	MPI. VVT-i. Atkinson cycle. Toyota 2GR-FXE engine + 4JM (2 Front motors). Nickel-metal hydride Battery Pack. Lexus RX450h 2wd ('10-'15).
B	1.8L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 2ZR-FXE engine + 1NM (2 Front motors). Nickel-metal hydride Battery Pack. Toyota Prius (Two trim level: '16-'18), (One trim level: '17-'18).
B	2.5L	I4	Gas-Electric Hybrid	DOHC, 16 valve	D-4S Direct/Port injection. Dual VVT-i w/intake VVT-iE. Atkinson cycle. Toyota A25A-FXS Dynamic Force engine + 5NM (2 Front motors), 4NM (1 Rear motor). Nickel-metal hydride Battery Pack. Toyota Highlander Hybrid Awd ('20-'21).
B	2.5L	I4	Gas-Electric PHEV	DOHC, 16 valve	D-4S Direct/Port injection. Dual VVT-i w/intake VVT-iE. Atkinson cycle. Toyota A25A-FXS Dynamic Force engine + 5NM (2 Front motors), 4NM (1 Rear motor). Lithium-ion Battery Pack. Toyota RAV4 Prime ('21-).
C	3.5L	V6	Gas-Electric Hybrid	DOHC, 24 valve	MPI. VVT-i. Atkinson cycle. Toyota 2GR-FXE engine + 4JM (2 Front motors), 2FM (1 Rear motor). Nickel-metal hydride Battery Pack. Lexus RX450h Awd ('10-'15), Toyota Highlander Hybrid Awd ('11-'16).
C	3.5L	V6	Gas-Electric Hybrid	DOHC, 24 valve	D-4S Direct/Port injection. Dual VVT-i. Toyota 2GR-FSE engine + 1KM (2 Front motors). Nickel-metal hydride Battery Pack. Lexus GS450h ('10-'11).
D	1.8L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 2ZR-FXE engine + 3JM (2 Front motors). Nickel-metal hydride Battery Pack. Lexus CT200h ('11-'17).
D	2.5L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. Intake VVT-i. Atkinson cycle. Toyota 2AR-FXE engine + 2JM (2 Front motors). Nickel-metal hydride Battery Pack. Toyota Camry Hybrid ('12-'17), Avalon Hybrid ('13-'18).
D	1.5L	I4	Gas-Electric Hybrid	DOHC, 16 valve	MPI. VVT-i. Atkinson cycle. Toyota 1NZ-FXE engine + 1LM (2 Front motors). Nickel-metal hydride Battery Pack. Toyota Prius C ('12-'19).
E	2.4L	I4	Gas	DOHC, 16 valve	MPI. VVT-i. Toyota 2AZ-FE engine. Toyota Corolla XRS (US: '10, Canada: '10-'12), Matrix S, XRS ('10-'13), Scion tC ('10), Scion xB ('10-'15).
E	3.5L	V6	Gas	DOHC, 24 valve	D-4S Direct/Port injection. Dual VVT-i. Toyota 2GR-FSE engine. Lexus IS350 ('10-'17), IS350C ('10-'15), GS350 ('10-'11, '13-'15), RC350 ('15-'17).
F	2.5L	I4	Gas	DOHC, 16 valve	MPI. Dual VVT-i. Toyota 2AR-FE engine. Toyota Camry ('10-'17), Scion tC ('11-'16), RAV4 ('10-'18).
F	2.5L	V6	Gas	DOHC, 24 valve	D-4 Direct injection. Dual VVT-i. Toyota 4GR-FSE engine. Lexus IS250 ('10-'15), IS250C ('10-'15).
F	3.5L	V6	Gas-Electric Hybrid	DOHC, 24 valve	D-4S Direct/Port injection. Dual VVT-i w/intake VVT-iW. Otto/Atkinson cycles. Toyota 2GR-FXS engine + 6JM (2 Front motors). Nickel-metal hydride Battery Pack. Lexus RX450h 2wd ('16).
F	2.4L	I4 Turbo IC	Gas-Electric Hybrid	DOHC, 16 valve	D-4ST Direct/Port injection. Dual VVT-i. Toyota T24A-FTS Dynamic Force engine + 1ZM (2 Front motors), 1YM (1 Rear motor). Nickel-metal hydride Battery Pack. Toyota Crown Platinum Hybrid Max ('23-).
