#Code	Description
R	Tacoma SR, SR5, TRD Sport Access Cab LWB 2wd ('16-'20)
S	Tacoma SR, SR5, TRD Sport, TRD Off-Road Access Cab LWB 4wd ('16-'20)
A	Tacoma SR, SR5, TRD Sport, TRD Off-Road Double Cab LWB 2wd ('16-'20)
C	Tacoma SR, SR5, TRD Sport, TRD Off-Road Double Cab LWB 4wd ('16-'20)
C	Tacoma TRD Pro Double Cab LWB 4wd ('17-'20)
E	Tacoma Limited Double Cab LWB 2wd ('16-'20)
G	Tacoma Limited Double Cab LWB 4wd ('16-'20)
B	Tacoma SR5, TRD Sport Double Cab Super LWB 2wd ('16-'20)
D	Tacoma SR5, TRD Sport, TRD Off-Road Double Cab Super LWB 4wd ('16-'20)
H	Tacoma Limited Double Cab Super LWB 4wd (Canada only: '16-'17)
