#Code	Description
Z	5DR Wagon 2WD (RAV4 [base model, 2-row] '10-'12, RAV4 LE '13-'18, Highlander [base model] '10-'13, Highlander SE '11-'13, Highlander Plus '13, Highlander LE, LE Plus '14-'19, Sequoia SR5 '10-'20, Sequoia TRD Sport '18-'20, Sienna [base model V6] '11-'12, Sienna L '13-'20)
B	5DR Wagon 4WD (RAV4 [base model, 2-row] '10-'12, RAV4 LE '13-'18, Highlander [base model] '10-'13, Highlander SE '11-'13, Highlander Plus '13, Highlander LE, LE Plus '14-'19, Sequoia SR5 '10-'20, Sequoia TRD Sport '18-'20, Sequoia TRD Pro '20, Lexus GX460 [base model] '10-'19)
W	5DR Wagon 2WD (RAV4 Sport 2-row '10-'12, RAV4 XLE '13-'18, RAV4 Adventure '18)
R	5DR Wagon 4WD (RAV4 Sport 2-row '10-'12, RAV4 XLE '13-'18, RAV4 Adventure '18)
X	5DR Wagon 2WD (RAV4 Limited 3-row '10-'12, Highlander Sport '10, Sienna SE '11-'20, SE Premium '15-'20)
E	5DR Wagon 4WD (RAV4 Limited 3-row '10-'12, Highlander Sport '10, Sienna SE '19-'20, SE Premium '19-'20)
K	5DR Wagon 2WD (RAV4 [base model, 3-row] '10-'12, Highlander SE '10, '17-'19, Highlander XLE '14-'19, Sequoia Limited '10-'20, Sienna CE, LE '10, Sienna [base model I4] '11-'12, Sienna LE '11-'20)
N	5DR Wagon 2WD (RAV4 SE '16-'18)
J	5DR Wagon 4WD (RAV4 [base model, 3-row] '10-'12, RAV4 SE '16-'18, Highlander SE '10, '17-'19, Highlander XLE '14-'19, Sequoia Limited '10-'20, Sienna LE '10-'20, Lexus GX460 Premium '10-'13, GX460 Luxury '14-'19)
Y	5DR Wagon 2WD (RAV4 Limited 2-row '10-'12, RAV4 EV '12-'14, RAV4 Limited '13-'18, RAV4 Platinum '17-'18, Highlander Limited '10-'19, Highlander Limited Platinum '14-'19, Sequoia Platinum '10-'20, Sienna XLE, Limited '10-'20, XLE Premium, Limited Premium '15-'20)
D	5DR Wagon 4WD (RAV4 Limited 2-row '10-'12, RAV4 Limited '13-'18, RAV4 Platinum '17-'18, Highlander Limited '10-'19, Highlander Limited Platinum '14-'19, Sequoia Platinum '10-'20, Sienna XLE, Limited '10-'20, XLE Premium, Limited Premium '15-'20)
Z	5DR Wagon 2WD (Sienna CE [Canadian market] '10)
B	5DR Wagon 4WD (Sienna CE [Canadian market] '10)
K	5DR Wagon (Sienna LE '21-)
B	5DR Wagon (Sienna LE w/Plus Package '21-)
Y	5DR Wagon (Sienna XLE '21-)
J	5DR Wagon (Sienna XLE w/Plus Package '21-)
X	5DR Wagon (Sienna XSE '21-)
D	5DR Wagon (Sienna XSE w/Plus Package '21-)
Z	5DR Wagon (Sienna Limited '21-)
E	5DR Wagon (Sienna Platinum '21-)
H	5DR Wagon (RAV4 LE 2wd '19-'21)
K	5DR Wagon (RAV4 LE 2wd w/Blind Spot Monitor '19-'21)
F	5DR Wagon (RAV4 LE 4wd '19-'21)
G	5DR Wagon (RAV4 LE 4wd w/Blind Spot Monitor '19-'21)
L	5DR Wagon (RAV4 LE Hybrid 4wd '19-'21)
M	5DR Wagon (RAV4 LE Hybrid 4wd w/Blind Spot Monitor '19-'21)
W	5DR Wagon (RAV4 XLE 2wd '19-'21)
P	5DR Wagon (RAV4 XLE 4wd '19-'21)
R	5DR Wagon (RAV4 XLE Hybrid 4wd '19-'21)
C	5DR Wagon (RAV4 XLE Premium 2wd '19-'21)
A	5DR Wagon (RAV4 XLE Premium 4wd '19-'21)
B	5DR Wagon (RAV4 XLE Premium Hybrid 4wd '21-)
J	5DR Wagon (RAV4 Adventure 4wd '19-'21, RAV4 TRD Off-Road 4wd '20)
S	5DR Wagon (RAV4 TRD Off-Road 4wd '21-)
E	5DR Wagon (RAV4 XSE Hybrid 4wd '19-'21)
Y	5DR Wagon (RAV4 Limited 2wd '19-'21)
N	5DR Wagon (RAV4 Limited 4wd '19-'21)
D	5DR Wagon (RAV4 Limited Hybrid 4wd '19-'21)
C	5DR Wagon (RAV4 Prime SE 4wd '21-)
A	5DR Wagon (RAV4 Prime SE w/Weather & Moonroof Package 4wd '21-)
E	5DR Wagon (RAV4 Prime XSE 4wd '21-)
F	5DR Wagon (RAV4 Prime XSE w/Premium Package 4wd '21-)
C	5DR Wagon (Highlander L 2wd & Awd '20-'21)
Z	5DR Wagon (Highlander LE, Hybrid LE 2wd '20-'21)
B	5DR Wagon (Highlander LE, Hybrid LE Awd '20-'21)
G	5DR Wagon (Highlander XLE, Hybrid XLE '20-'21)
H	5DR Wagon (Highlander XLE w/Navigation, Hybrid XLE w/Navigation '20-'21)
Y	5DR Wagon (Highlander Limited, Hybrid Limited 2wd '20-'21)
D	5DR Wagon (Highlander Limited, Hybrid Limited Awd '20-'21)
X	5DR Wagon (Highlander Hybrid Limited Awd '20-'21)
F	5DR Wagon (Highlander Platinum 2wd & Awd, Hybrid Platinum 2wd '20-'21)
E	5DR Wagon (Highlander Hybrid Platinum Awd '20-'21)
L	5DR Wagon (Highlander XSE '21-)
J	5DR Wagon (Highlander XSE w/Navigation & JBL Audio '21-)
E	5DR Wagon (4Runner SR5 2wd '21-)
M	5DR Wagon (4Runner SR5 4wd '21-)
Z	5DR Wagon (4Runner Trail Special Edition 2wd '21-)
