#Code	Description
A	Toyota Highlander ('20-'21) V6 2wd: GSU70L, Hybrid 2wd: AXUH70L
A	Toyota Sequoia ('21-) USK60L, 2wd
A	Toyota bZ4X ('23-) XEAM10L, 2wd
A	Lexus RZ450e ('23-) XEBM15L, Awd
B	Toyota Highlander ('20-'21) V6 4wd: GSU75L
B	Toyota Sequoia ('21-) USK65L, 4wd
B	Lexus GX460 ('20-'23) URJ150L, 4wd
B	Toyota bZ4X (Early '23), Subaru Solterra ('23-) YEAM15L, Awd
C	Toyota Highlander ('20-'21) Hybrid 4wd: AXUH78L
C	Toyota bZ4X ('23-) YEAM15L, Awd
E	Toyota Sienna ('21-) Hybrid 2wd: AXLH40L
F	Toyota Sienna ('21-) Hybrid Awd: AXLH45L
