#Code	Description
0	Toyota Scion iQ, Toyota Scion iQ EV ('13)
1	Toyota Tundra
1	Toyota Sequoia
1	Lexus ES350 ('19-), ES300h ('19-)
2	Lexus IS250, IS200t, IS300 RWD, IS300 AWD, IS350, IS F, IS250C, IS350C
3	Toyota Yaris hatchback ('10-'18 & '19 in Canada), Yaris sedan ('10-'12)
3	Toyota Prius C
4	Toyota Scion xD
7	Toyota Scion tC
A	Lexus HS250h
A	Lexus RX350, RX350L, RX450h, RX450hL
A	Toyota Mirai ('21-)
A	Toyota bZ4X, Subaru Solterra
B	Toyota Avalon, Avalon Hybrid
B	Toyota Venza ('10-'15 & '16 in Canada)
B	Lexus RZ450e
C	Toyota Sienna, Sienna Hybrid
C	Lexus RC200t, RC300 RWD, RC300 AWD, RC350, RC F
D	Toyota Mirai ('16-'20)
E	Toyota Corolla / Matrix
E	Toyota Scion iM, Corolla iM
E	Toyota Scion xB
F	Toyota FJ Cruiser
F	Lexus LS460, LS460L, LS600hL
F	Lexus LS500, LS500h
F	Toyota Crown
G	Lexus ES350 ('10-'18), ES300h ('13-'18)
H	Toyota Highlander, Highlander Hybrid
H	Lexus CT200h
H	Lexus LFA
H	Lexus UX200, UX250h
J	Toyota Land Cruiser (Full-size: '10-'11, '13-'21)
K	Toyota Camry, Camry Hybrid
L	Lexus GS350, GS450h ('13-'15)
L	Lexus GS200t, GS350, GS450h, GS F ('16-'17)
L	Lexus GS300, GS350, GS450h, GS F ('18)
L	Lexus GS300, GS350, GS F ('19)
L	Lexus GS350, GS F ('20)
N	Toyota Tacoma
P	Toyota Prius Plug-in Hybrid, Prius Prime
R	Toyota 4Runner
S	Lexus GS350, GS460, GS450h ('10-'11)
U	Toyota Prius, Prius V
V	Toyota RAV4, RAV4 Hybrid, RAV4 Prime, RAV4 EV
X	Lexus GX460
X	Lexus LX570
X	Toyota C-HR
Y	Lexus SC430
Y	Lexus LC500, LC500h
Z	Lexus NX200t, NX300, NX300h
