0	Japan
1	Japan
2	Japan
3	Japan
4	Japan
5	Japan
6	Japan
7	Japan
8	Japan
9	Japan
7	Lordstown, OH, US (GM plant) (Toyota Cavalier)
A	Motomachi plant, Toyota City, Japan
A	Onnaing-Valenciennes, France (TMMF) (Yaris hatch - US: '14-'18, Canada: '14-'19)
C	Cambridge, ON, Canada (TMMC)
D	Nagakusa plant, Obu, Japan (Toyota Industries plant)
E	Burnaston, Derbyshire, England, United Kingdom (TMMUK)
J	Takaoka plant, Toyota City, Japan
J	Vigo, Spain (PSA/Stellantis plant) (ProAce City)
K	Hamura, Japan (Hino Motors plant)
L	Miyagi plant, Ohira, Miyagi pref., Japan (Central Motor Co./Toyota Motor East Japan plant)
M	Tijuana, Baja CA, Mexico (TMMBC)
M	Atessa, Italy (PSA/Stellantis plant) (ProAce Max diesel)
N	Kolín, Czech Republic (TPCA/TMMCZ)
P	Blue Springs, MS, US (TMMMS)
R	Lafayette, IN, US (Subaru of Indiana Automotive) (Camry '07-'16)
R	Adapazari, Sakarya province, Turkey (TMMT) (US/Canada: C-HR '18-'22)
S	Princeton, IN, US (TMMI)
T	Apaseo el Grande, Guanajuato, Mexico (TMMGT)
U	Georgetown, KY, US (TMMK)
V	Huntsville, AL, US (MTM USA)
W	Woodstock, ON, Canada (TMMC)
W	Graz, Austria (Magna Steyr) (GR Supra '20-)
X	San Antonio, TX, US (TMMTX)
X	Altona, Victoria, Australia (Toyota Australia)
Y	Salamanca, Guanajuato, Mexico (Mazda de Mexico Vehicle Operation) (Scion iA '16, Yaris iA '17-'18, Yaris sedan '19-'20, Yaris hatch '20)
Z	Fremont, CA, US (NUMMI)
Z	Lieu-Saint-Amand, France (Sevel Nord - PSA/Stellantis plant) (ProAce)
