# wmi   manufacturer
10T	OSHKOSH
11V	OTTAWA
137	AM GENERAL, HUMMER
145	HYUNDAI
15G	GILLIG
177	THOMAS
17N	JOHN DEERE
18X	WRV
19U	ACURA
1A4	CHRYSLER
1A8	CHRYSLER
1AC	AMC
1AM	AMC
1B	DODGE
1B3	DODGE
1B4	DODGE
1B6	DODGE
1B7	DODGE
1BA	BLUE BIRD
1BB	BLUE BIRD
1BD	BLUE BIRD
1C	CHRYSLER
1C3	CHRYSLER
1C4	CHRYSLER
1C6	CHRYSLER
1C8	CHRYSLER
1C9	CHANCE
1CY	CRANE CARRIER
1D3	DODGE
1D4	DODGE
1D5	DODGE
1D7	DODGE
1D8	DODGE
1EC	FLEETWOOD
1F	FORD
1F1	FORD
1F4	FORD
1F6	FORD
1F9	FWD CORP.
1FA	FORD MOTOR COMPANY
1FB	FORD MOTOR COMPANY
1FC	FORD MOTOR COMPANY
1FD	FORD MOTOR COMPANY
1FE	FORD
1FF	FORD
1FM	FORD MOTOR COMPANY
1FT	FORD MOTOR COMPANY
1FU	FREIGHTLINER
1FV	FREIGHTLINER
1G	GENERAL MOTORS
1G1	CHEVROLET
1G2	PONTIAC USA
1G3	OLDSMOBILE
1G4	BUICK
1G5	GMC, PONTIAC
1G6	CADILLAC USA
1G8	SATURN USA
1G9	GOOGLE
1GA	CHEVROLET
1GB	CHEVROLET INCOMPLETE VEHICLES
1GC	CHEVROLET
1GD	GMC INCOMPLETE VEHICLES
1GE	CADILLAC
1GF	FLEXIBLE
1GG	ISUZU
1GH	GMC, OLDSMOBILE
1GJ	GMC
1GK	GMC
1GM	PONTIAC
1GN	CHEVROLET
1GT	GMC TRUCK USA
1GY	CADILLAC USA
1H	 HONDA USA
1HD	HARLEY-DAVIDSON
1HF	HONDA
1HG	HONDA
1HS	INTERNATIONAL
1HT	INTERNATIONAL
1HV	INTERNATIONAL
1J	JEEP
1J4	JEEP
1J6	JEEP
1J7	JEEP
1J8	JEEP
1JC	AMC, JEEP
1JD	AMC
1JE	JEEP
1JF	JEEP
1JH	JEEP
1JM	JEEP
1JT	AMC, JEEP
1L	LINCOLN
1L1	LINCOLN
1LN	LINCOLN
1M	MERCURY
1M1	MACK TRUCK USA
1M2	MACK TRUCK USA
1M3	MACK TRUCK USA
1M4	MACK TRUCK USA
1M8	MCI
1M9	MYNATT TRUCK & EQUIPMENT
1MB	MERCEDES-BENZ
1ME	MERCURY USA
1MR	CONTINENTAL
1N	NISSAN
1N4	NISSAN
1N6	DATSUN, NISSAN
1N9	NEOPLAN
1NK	KENWORTH
1NP	PETERBILT
1NX	NUMMI USA
1P3	PLYMOUTH USA
1P4	PLYMOUTH
1P7	PLYMOUTH
1P9	PANOZ
1R9	ROADRUNNER HAY SQUEEZE USA
1RF	ROADMASTER
1S9	SALEEN
1T8	THOMAS
1TU	TMC
1V1	VOLKSWAGEN
1VW	VOLKSWAGEN
1WA	AUTOSTAR
1WB	AUTOSTAR
1WU	WHITE VOLVO
1WV	WINNEBAGO
1XK	KENWORTH USA
1XM	AMC
1XP	PETERBILT USA
1Y1	CHEVROLET, GEO
1YV	MAZDA
1Z3	MITSUBISHI
1Z5	MITSUBISHI
1Z7	MITSUBISHI
1ZV	FORD
1ZW	MERCURY
2A3	CHRYSLER
2A4	CHRYSLER CANADA
2A8	CHRYSLER
2B1	ORION
2B3	DODGE CANADA
2B4	DODGE
2B5	DODGE
2B6	DODGE
2B7	DODGE CANADA
2B8	DODGE
2BC	AMC, JEEP
2BD	JEEP
2BT	JEEP
2C1	CHEVROLET, GEO
2C3	CHRYSLER CANADA
2C4	CHRYSLER
2C7	PONTIAC
2C8	CHRYSLER
2CC	AMC, EAGLE
2CH	CHEVROLET
2CK	GEO, PONTIAC
2CM	AMC
2CN	CAMI
2D3	DODGE CANADA
2D4	DODGE
2D6	DODGE
2D7	DODGE
2D8	DODGE
2DG	ONTARIO DRIVE & GEAR
2E3	EAGLE
2F	FORD
2FA	FORD MOTOR COMPANY CANADA
2FB	FORD MOTOR COMPANY CANADA
2FC	FORD MOTOR COMPANY CANADA
2FD	FORD
2FF	FORD
2FM	FORD MOTOR COMPANY CANADA
2FT	FORD MOTOR COMPANY CANADA
2FU	FREIGHTLINER
2FV	FREIGHTLINER
2FW	STERLING
2FZ	STERLING
2G	GENERAL MOTORS CANADA
2G0	GMC
2G1	CHEVROLET
2G2	PONTIAC
2G3	OLDSMOBILE CANADA
2G4	BUICK CANADA
2G5	GMC
2G7	PONTIAC
2G8	CHEVROLET
2G9	GNOME HOMES
2GA	CHEVROLET
2GB	CHEVROLET
2GC	CHEVROLET
2GD	GMC
2GJ	GMC
2GK	GMC
2GM	PONTIAC
2GN	CHEVROLET
2GT	GMC
2GY	CADILLAC
2Gx	GENERAL MOTORS
2HG	HONDA
2HH	ACURA
2HJ	HONDA
2HK	HONDA
2HM	HYUNDAI
2HN	ACURA
2HS	INTERNATIONAL
2HT	INTERNATIONAL
2J4	JEEP
2J6	JEEP
2J7	JEEP
2L9	LES CONTENANTS DURABAC
2LM	LINCOLN
2LN	LINCOLN
2M	MERCURY
2M2	MACK
2ME	MERCURY
2MH	MERCURY
2MR	MERCURY
2NK	KENWORTH
2NP	PETERBILT
2NV	NOVA BUS CANADA
2P3	PLYMOUTH CANADA
2P4	PLYMOUTH
2P5	PLYMOUTH
2P9	PREVOST
2PC	PREVOST
2S2	SUZUKI
2S3	SUZUKI
2S4	SUZUKI
2T	TOYOTA
2T1	TOYOTA
2T2	LEXUS
2T3	TOYOTA
2V4	VOLKSWAGEN CANADA
2V8	VOLKSWAGEN CANADA
2WK	WESTERN STAR
2WL	WESTERN STAR
2WM	WESTERN STAR
2XK	KENWORTH
2XM	EAGLE
2XP	PETERBILT
3A4	CHRYSLER
3A8	CHRYSLER
3AB	DINA
3AL	FREIGHTLINER
3B3	DODGE
3B4	DODGE
3B6	DODGE
3B7	DODGE
3BK	KENWORTH
3BP	PETERBILT
3C3	CHRYSLER
3C4	CHRYSLER MEXICO
3C8	CHRYSLER
3CA	CHRYSLER
3CE	VOLVO
3CZ	HONDA
3D3	DODGE MEXICO
3D5	DODGE
3D6	DODGE
3D7	DODGE
3F	FORD
3FA	FORD MOTOR COMPANY MEXICO
3FB	FORD
3FC	FORD
3FD	FORD
3FE	FORD MOTOR COMPANY MEXICO
3FF	FORD
3FR	FORD
3FT	FORD
3G	GENERAL MOTORS
3G1	CHEVROLET
3G2	PONTIAC
3G4	BUICK
3G5	BUICK
3G7	PONTIAC
3G8	CHEVROLET
3GA	CHEVROLET
3GB	CHEVROLET
3GC	CHEVROLET
3GD	GMC
3GE	CHEVROLET
3GG	CADILLAC
3GK	GMC
3GM	PONTIAC
3GN	CHEVROLET
3GT	GMC
3GY	CADILLAC
3H	HONDA MEXICO
3H1	HONDA
3HA	INTERNATIONAL
3HG	HONDA
3HM	HONDA
3HS	INTERNATIONAL
3HT	INTERNATIONAL
3JB	BRP MEXICO (ALL-TERRAIN VEHICLES)
3KP	KIA
3LN	LINCOLN
3MA	MERCURY
3ME	MERCURY
3MZ	MAZDA MEXICO
3N	NISSAN
3N1	NISSAN
3N6	NISSAN
3N8	NISSAN
3NK	KENWORTH
3NM	PETERBILT
3P3	PLYMOUTH MEXICO
3TM	TOYOTA
3VW	VOLKSWAGEN
3WK	KENWORTH
45V	UTILIMASTER
46G	GILLIG
478	HONDA
49H	STERLING
4A3	MITSUBISHI
4A4	MITSUBISHI
4B3	DODGE
4C3	CHRYSLER
4CD	OSHKOSH
4DR	GENESIS, INTERNATIONAL
4E3	EAGLE
4F	MAZDA
4F2	MAZDA
4F4	MAZDA
4G1	CHEVROLET
4G2	PONTIAC
4GB	CHEVROLET
4GD	GMC
4GT	ISUZU, WHITEGMC
