# https://turbododgeparts.com/content/faqs/pt_cruiser_odb2_fault_code_list.html
B0016	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0017	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0018	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0022	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0024	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0026	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0051	Deployment Commanded
B0053	Deployment Commanded with Loop Malfunctions Present
B0090	Active Switch Voltage Out of Range
B0091	Active Switch: Wrong State
B0332	Outside Air Temp Sensor Short to Ground
B0333	Outside Air Temperature Sensor Open
B0337	Inside Air Temp Sensor Short to GND
B0338	Inside Air Temperature Sensor Open
B0348	Sunload Temperature Sensor Open
B0361	Left Actuator Feedback Short to GND
B0363	Left Actuator Feedback Open
B0365	Right Actuator Feedback Short to GND
B0367	Right Actuator Feedback Open
B0432	Rear Defogger Relay Circuit
B0433	Rear Defogger Relay Circuit
B0441	Left Actuator Out of Range
B0446	Right Actuator Out of Range
B0502	RH DRL Relay Circuit
B0503	RH DRL Relay Circuit
B0507	LH DRL Relay Circuit
B0508	LH DRL Relay Circuit
B0516	Speedometer Signal Circuit Malfunction
B0521	Tachometer Signal Circuit Malfunction
B0605	BCM Internal Memory Malfunction
B0846	Battery 2 Out of Range
B0851	Battery Out of Range
B0856	+5 Volt Reference Out of Range
B1000	ECU Malfunction
B1001	Option Configuration Error
B1002	A/C Switch Request Input Circuit High
B1003	Panel Mode Switch Request Input Circuit/Performance
B1006	BI-Level Mode Switch Request Input Circuit/Performance
B1009	Recirculation Switch Request Input Circuit/Performance
B100C	Floor Mode Switch Request Input Circuit/Performance
B100F	Mix Switch Request Input Circuit Performance
B1012	Defrost Switch Request Input Circuit/Performance
B1015	Rear Defrost Switch Request Input Circuit/Performance
B101E	Power On/Off Switch Request Input Circuit/Performance
B1021	Blower Speed Up Switch Request Input Circuit/Performance
B1024	Blower Speed Down Switch Request Input Circuit/Performance
B1028	Rear Blower Control Request Input Circuit Low
B1029	Rear Blower Control Request Input High
B102E	Rear Blend Request Input Circuit Low
B102F	Rear Blend Request Input Circuit High
B1031	Evaporator Temperature Sensor Circuit Low
B1032	Evaporator Temperature Sensor Circuit High
B1034	Infrared Temperature Sensor Input Circuit Low
B1035	Infrared Temperature Sensor Input Circuit High
B1037	Auto Switch Request Input Circuit Performance
B103A	Rear Mode Door Control Circuit/Performance
B103D	Rear Mode Door Control Circuit Open
B103E	Rear Mode Door Travel Range Too Small
B103F	Rear Mode Door Travel Range Too Large
B1040	Panel Mode Door 1 Control Circuit/Performance
B1043	Panel Mode Door 1 Control Circuit Open
B1044	Panel Mode Door 1 Travel Range Too Small
B1045	Panel Mode Door 1 Travel Range Too Large
B1052	Rear Blend Door Control Circuit/Performance
B1055	Rear Blend Door Control Circuit Open
B1056	Rear Blend Door Travel Range Too Small
B1057	Rear Blend Door Travel Range Too Large
B1058	Recirculation Door Control Circuit/Performance
B105B	Recirculation Door Control Circuit Open
B105C	Recirculation Door Travel Range Too Small
B105D	Recirculation Door Travel Range Too Large
B106B	Rear Defrost Control Circuit Low
B106C	Rear Defrost Control Circuit High
B106D	Rear Defrost Control Circuit Open
B106F	Blower Motor Control Circuit Low (TIPM)
B1070	Blower Motor Control Circuit High (TIPM)
B1084	Left Heated Seat Switch Input Circuit Performance
B1087	Right Heated Seat Switch Input Circuit Performance
B1092	Front Left Seat Heater Control Circuit Low
B1094	Front Left Seat Heater Control Circuit Open
B1096	Front Right Seat Heater Control Circuit Low
B1098	Front Right Seat Heater Control Circuit Open
B10A2	Left Blend Door 1 Control Circuit/Performance
B10A5	Left Blend Door Control Circuit Open
B10A6	Left Blend Door Travel Too Small
B10A7	Left Blend Door Travel Too Large
B10A8	Left Blend Door Actuator Performance
B10A9	Right Blend Door Control Circuit/Performance
B10AC	Right Blend Door Control Circuit Open
B10AD	Right Blend Door Travel Too Small
B10AE	Right Blend Door Travel Too Large
