P0001	Fuel flow regulator signal : ECU connector temperature too high
P0002	Fuel flow regulation : Lack of coherence of the control current
P0003	Fuel flow regulator signal : Short circuit to earth
P0004	Fuel flow regulator signal : Short circuit to positive
P0016	Camshaft signal : Incoherence between the engine speed signal and the camshaft signal
P0017	Engine starting fault : Engine synchronisation time too long
P0069	Turbocharger pressure signal : Coherence with the atmospheric pressure
P0087	High pressure fuel regulation : The measured rail pressure is too low in relation to theset point
P0088	High pressure fuel regulation : The measured rail pressure is too high in relation to the set point
P0093	High pressure fuel regulation : The fuel flow regulator opens less than the reference value
P0097	Intake air temperature signal (air inlet manifold) : Short circuit to earth
P0098	Intake air temperature signal (air inlet manifold) : Open circuit or short circuit to the plus
P0100	Flowmeter signal : Air flow not plausible
P0102	Flowmeter signal : Measured flow less than the minimum flow
P0103	Flowmeter signal : Measured flow higher than the maximum flow
P0104	Flowmeter signal : Open circuit ; Short circuit to positive ; Short circuit to earth
P0107	atmospheric pressure sensor : Short circuit to earth ; Value too low
P0108	Atmospheric pressure signal : Short circuit to positive ; Open circuit ; Value too high
P0111	CAN communication : Outside air temperature not available on the CAN
P0112	Intake air temperature signal (flow meter) : Short circuit to earth ; Value too low
P0113	Intake air temperature signal (flow meter) : Open circuit ; Short circuit to positive
P0115	Engine coolant temperature signal : Coherence of the temperature increase
P0117	Engine coolant temperature signal : Short circuit to earth
P0118	Engine coolant temperature signal : Open circuit or short circuit to the plus
P0119	Engine coolant temperature signal : CAN value error
P0120	EGR throttle position copy signal : Drift of the programming in relation to the first carried out
P0121	EGR throttle position copy signal : Different in the programming compared with that carried out the time before last
P0122	EGR throttle position copy signal earth : Short circuit to earth
P0123	Position indicator signal of the EGR valve : Open circuit or short circuit to the plus
P0182	Diesel fuel temperature signal : Short circuit to earth
P0183	Diesel fuel temperature signal : Short circuit to positive or open circuit
P0192	Fuel pressure signal : Short circuit to earth
P0193	Fuel pressure signal : Open circuit or short circuit to the plus
P0196	Engine oil temperature signal : Coherence of variation of the signal
P0197	Engine oil temperature signal : Voltage of the signal lower than the minimum threshold
