B103B	Thermoelectric Driver Overcurrent Low
B103C	Thermoelectric Driver Open Load
B103D	Blower Driver Overtemperature
B10F1	Key In Switch: Circuit Short To Ground or Open
B1111	Driver Thermal Electric Device Control Overtemperature Fault
B1113	Passenger Thermal Electric Device Control Overtemperature Fault
B111B	Passenger Thermo-Electric Driver Overcurrent Low
B111C	Passenger Thermoelectric Driver Open Load
B111D	Passenger Blower Driver Overtemperature
B1213	Less Than Two Keys Programmed To The System
B124D	Tire Pressure Sensor: General Signal Failure
B1317	Battery Voltage High
B1318	Battery Voltage Low
B1342	ECU Damaged (EEPROM Inside PCM Not Working)
B1600	PATS Ignition Key Transponder Signal Not Received
B1601	PATS Received Incorrect Key Code From Ignition Key Transponder
B1602	PATS Received Invalid Format of Key Code From Ignition Key Transponder
B1663	Seat Driver Front Up/Down Motor Stalled
B1664	Seat Driver Rear Up/Down Motor Stalled
B1665	Seat Driver Forward/Backward Motor Stalled
B1666	Seat Driver Recline Motor Stalled
B1681	PATS Receiver Module Signal Not Received
B1703	Seat Driver Recline Forward Switch Circuit Short to Battery
B1707	Seat Driver Recline Rearward Switch Circuit Short to Battery
B1711	Seat Driver Front Up Switch Circuit Short to Battery
B1715	Seat Driver Front Down Switch Circuit Short to Battery
B1719	Seat Driver Forward Switch Circuit Short to Battery
B1723	Seat Driver Rearward Switch Circuit Short to Battery
B1727	Seat Driver Rear Up Switch Circuit Short to Battery
B1731	Seat Driver Rear Down Switch Circuit Short to Battery
B1952	Seat Rear Up/Down Position Feedback Circuit Short to Battery
B1953	Seat Rear Up/Down Position Feedback Circuit Short to Ground
B1956	Seat Front Up/Down Position Feedback Circuit Short to Battery
B1957	Seat Front Up/Down Position Feedback Circuit Short to Ground
B1960	Seat Recline Forward/Backward Position Feedback Circuit Short to Battery
B1961	Seat Recline Forward/Backward Position Feedback Circuit Short to Ground
B1964	Seat Horizontal Forward/Rearward Position Feedback Circuit Short to Battery
B1965	Seat Horizontal Forward/Rearward Position Feedback Circuit Short to Ground
B19A1	Passenger Seat Cushion Blower Speed Short to Battery
B19A2	Passenger Seat Back Blower Speed Short to Battery
B19A3	Driver Seat Cushion Blower Speed Short to Battery
B19A4	Driver Seat Back Blower Speed Short to Battery
B19A5	Passenger Seat Cushion Blower Speed Short to Ground
B19A6	Passenger Seat Back Blower Speed Short to Ground
B19A7	Driver Seat Cushion Blower Speed Short to Ground
B19A8	Driver Seat Back Blower Speed Short to Ground
B2103	Antenna Not Connected
B2290	Occupant Classification System Fault
B2330	Column Reach Feedback Potentiometer Circuit Short to Battery
B2331	Column Reach Feedback Potentiometer Circuit Short to Ground
B2334	Column Tilt Feedback Potentiometer Circuit Short to Battery
B2335	Column Tilt Feedback Potentiometer Circuit Short to Ground
B2340	Column Reach Motor Stalled
B2341	Column Tilt Motor Stalled
B2431	Transponder Programming Failed
B2486	Climate Control Seat Module Voltage Out of Range
B2572	Brake Shift Interlock Actuator (BSIA) open or shorted circuit
B2729	Cushion Over-Temp Detected
B272A	Passenger Cushion Over-Temp Detected
B272B	Passenger Back Over-Temp Detected
B272C	Driver Differential Temperature Fault
B272D	Passenger Differential Temperature Fault
B272E	Driver Ignition Run/Blower Circuit Short to Ground
B272F	Passenger Ignition Run/Blower Circuit Short to Ground
B2730	Back Over-Temp Detected
Function"
P1000	OBD-II Monitor Testing Incomplete
P1001	KOER Test Cannot Be Completed
P1009	EVAP System Self Test Not Able To Complete
P100F	Wastegate Control Pressure/BARO Correlation
P1011	Wastegate Control Pressure Sensor Circuit Range/Performance
P1012	Wastegate Control Pressure Sensor Circuit Low
