C120A	Brake Boost Regulation Pressure Sensor Plausibility Failure
C120C	Brake Pedal Position Sensor 4 Not Plausible
C120D	Traction Control Power Switch Circuit Open
C120E	Traction Control Power Switch Circuit Shorted
C121A	ABS Regenerative Axle Pressure Sensor
C121C	EBCM Internal Communication Error
C121D	Improper Shutdown
C121E	EBCM Malfunction
C121F	EBCM Unexpected Exception
C122E	Wheel Speed Sensor Frequency Error
C123A	EBCM High End Timer Watchdog
C123B	EBCM High End Timer Program Overflow
C123C	EBCM High End Timer RAM Fault
C123D	EBCM Solenoid Timeout
C123E	EBCM High End Timer Periodic Interrupt
C123F	EBCM Serial Peripheral Interface Inoperative
C1255	Electronic Control Unit Performance
C1256	Program ROM Checksum Error
C126D	EBCM communication Bus B RAM Error
C126E	EBCM Stack Overrun
C126F	EBCM Serial Peripheral Interface Performance
C127C	EBCM Self Test Failed
C127D	Antilock Brake System (ABS) Brake Switch Circuit
C127E	EBCM Module High Temperature
C128A	Brake Boost Regulation Pressure Sensor Above Maximum Threshold
C128B	Master Cylinder Pressure Sensor Above Maximum Threshold
C128C	ABS Regenerative Axle Pressure Sensor Offset Error
C128D	Brake Boost Regulation Pressure Sensor
C128E	Master Cylinder Pressure Sensor
C128F	ABS Regenerative Axle Pressure Sensor Raw Offset Error
C129A	Brake Pedal Position Sensor 3 Circuit Low
C129B	Brake Pedal Position Sensor 3 Circuit High
C129D	Brake Pedal Position Sensor 4 Circuit Low
C129E	Brake Pedal Position Sensor 4 Circuit High
C12A7	Brake Boost Solenoid Valve Circuit Performance
C12B1	ABS Master Cylinder Pressure Sensor and Brake Pedal Position Sensor Not Plausible
C12B2	Master Cylinder Pressure Sensor Short to Ground or Open
C12B3	Master Cylinder Pressure Sensor Short to Battery
C12B4	Master Cylinder Pressure Sensor Erratic
C12B6	High Pressure Accumulator Pressure Sensor Short to Ground or Open
C12B7	High Pressure Accumulator Pressure Sensor Short to Battery
C12B8	High Pressure Accumulator Pressure Sensor Erratic
