B1000	Communication Bus Line Error
B1001	Multiplex Integrated Control Unit (MICU) Internal Error
B1002	Multiplex Integrated Control Unit (MICU) Internal Error
B1005	MICU Lost Communication with Relay Control Module (RM Message)
B1006	MICU Lost Communication with Door Multiplex Control Unit (Door Lock Switch Message)
B1007	MICU Lost Communication with Combination Switch Control Unit (HLSW Message)
B1008	MICU Lost Communication With Gauge Control Module (A/T Message)
B1009	MICU Lost Communication With Combination Switch Control Unit (Wiper/Washer Switch Message)
B1010	MICU Lost Communication with Door Multiplex Control Unit (Panic Message)
B1011	MICU Lost Communication With Gauge Control Module (VSP/NE Message)
B1026	Passenger's Door Lock Switch Signal Error
B1027	Trunk Key Cylinder Switch Signal Error
B1028	Rear Window Wiper Motor (Park) Signal Error
B1036	Driver's MICU IG1 Line Input Error
B1050	Communication Bus Line Error
B1052	Relay Control Module Internal (EEPROM) Error
B1055	Relay Control Module Lost Communication with MICU (MICU Message)
B1056	Relay Control Module Lost Communication with MICU (ALARM Message)
B1057	Relay Control Module Lost Communication with MICU (DOORSW Message)
B1058	Relay Control Module lost communication with Door Multiplex Control Unit (door lock switch message)
B1059	Relay Control Module lost communication with Door Multiplex Control Unit (panic message)
B1060	Relay Control Module Lost Communication with Gauge Control Module (VPS/NE Message)
B1061	Relay Control Module Lost Communication with Gauge Control Module (A/T Message)
B1062	Relay Control Module Lost Communication with Combination Switch Control Unit (HLSW Message)
B1063	Relay Control Module Lost Communication with Combination Switch Control Unit (WIPSW Message)
B1075	Headlight Switch Back-up Circuit Malfunction
B1076	Windshield Wiper Switch Back-up Circuit Malfunction
B1077	Windshield Wiper Auto Switch Circuit Malfunction
B1078	Daytime Running Lights System Error
B1079	Daytime Running Lights Malfunction
B1080	Power Supply Circuit (IG1 Line) Input Error for Relay Control Module and MICU
B10A2	Driver's MICU Internal (EEPROM) Error
B10CF	Left Daytime Running Lights Circuit Malfunction
B1100	Communication Circuit Error (BUS Off)
B1102	Door Multiplex Control Unit Internal Error
B1125	Driver's Power Window Motor A Pulse Malfunction
B1126	Driver's Power Window Motor B Pulse Malfunction
B1127	Driver's Door Key Cylinder Switch Malfunction
B1128	Driver's Door Lock Switch Signal Malfunction (Lock/Unlock)
B1129	Driver's Door Lock Knob Switch Signal Error (LOCK/UNLOCK)
B1130	Front Passenger's Power Window Motor A Pulse Malfunction
B1131	Front Passenger's Power Window Motor B Pulse Malfunction
B1140	Driver's Power Window Position Detect Circuit Malfunction
B1142	Door Multiplex Control Unit Lost Communication With Front Passenger's Power Window Switch (UART Line Open)
B1145	Front Passenger's Power Window Position Detect Circuit Malfunction
B1150	Communication Bus Line Error
B1152	Gauge Control Module Internal (EEPROM) Error
B1155	Gauge Control Module Lost Communication with Combination Switch Control Unit (HLSW Message)
B1156	Gauge Control Module Lost Communication with Combination Switch Control Unit (WIPSW Message)
B1157	Gauge Control Module Lost Communication with MICU (MICU Message)
B1158	Gauge Control Module Lost Communication with Relay Control Module (RM Message)
B1159	Gauge Control Module Lost Communication with MICU (DOORSW Message)
B1160	Gauge Control Module Lost Communication with Door Multiplex Control Unit (Door Lock Switch Message)
B1168	Gauge Control Module Lost Communication with PCM (ENG Message)
B1169	Gauge Control Module Lost Communication with the PCM (A/T Message)
B1170	Gauge Control Module Lost Communication with the VSA Modulator-Control Unit (VSA Message)
B1173	Gauge Control Module Lost Communication with the TPMS Control Unit (TPMS Message)
B1175	Fuel Level Sensor (Fuel Gauge Sending Unit) Circuit Open
B1176	Fuel Level Sensor (Fuel Gauge Sending Unit) Circuit Short
B1177	Battery Voltage Abnormal
B1178	F-CAN Communication Line Error
B1183	Gauge Control Module Lost Communication With EPS Unit
B1185	Gauge Control Module Lost Communication With Motor Control Module (BATT Message)
B1187	Gauge Control Module Lost Communication with SRS Unit (SRS Message)
B1188	Gauge Control Module Lost Communication with the MICU (RM Message)
B11A2	Passenger's MICU Internal (EEPROM) Error
B11C7	Passenger's MICU IG1 Line Input Error
B11CF	Right Daytime Running Lights Circuit Malfunction
B1200	Communication Bus Line Error
B1202	Climate Control Unit Internal Error
B1205	Climate Control Unit Lost Communication with Gauge Control Module (VSP/NE message)
B1206	Climate Control Unit Lost Communication with Gauge Control Module (ECT message)
B1207	Climate Control Unit Lost Communication with Gauge Control Module (ILLUMI message)
B121B	Short in the Mode Control Motor Circuit
B1220	Short in the Recirculation Control Motor Circuit
B1225	Open in the In-car Temperature Sensor Circuit
B1226	Short in the In-car Temperature Sensor Circuit
B1227	Open in the Outside Air Temperature Sensor Circuit
B1228	Short in the Outside Air Temperature Sensor Circuit
B1229	Open in the Sunlight Sensor Circuit
B1230	Short in the Sunlight Sensor Circuit
B1231	Open in the Evaporator Temperature Sensor Circuit
B1232	Short in the Evaporator Temperature Sensor Circuit
B1233	Open in the Driver's Air Mix Control Motor Circuit
B1234	A Short in the Driver's Air Mix Control Motor Circuit
B1235	Problem in the Driver's Air Mix Control Linkage, Door, or Motor Circuit
B1236	Open in the Passenger's Air Mix Control Motor Circuit
B1237	Short in the Passenger's Air Mix Control Motor Circuit
B1238	A Problem in the Passenger's Air Mix Control Linkage, Door, or Motor
B1239	Open or Short in the Drivers Mode Control Motor Circuit
B1241	Problem in the Blower Motor Circuit
B1250	Communication Bus Line Error (BUS OFF)
B1251	Combination Switch Control unit Internal Error
B1255	Combination Switch Control Unit Lost Communication with MICU (MICU Message)
B1275	Headlight OFF Position Circuit Malfunction
B1276	Combination Light Switch Parking (SMALL) Position Circuit Malfunction
B1277	Headlight AUTO Position Circuit Malfunction
B1278	Headlight Switch ON Position Circuit Malfunction
B1279	Headlight Switch DIMMER Position Circuit Malfunction
B1280	Turn Signal Switch Circuit Malfunction
B1281	Windshield Wiper Switch MIST Position Circuit Malfunction
B1282	Windshield Wiper Switch INT (AUTO) Position Circuit Malfunction
B1283	Windshield Wiper Switch LOW Position Circuit Malfunction
B1284	Windshield Wiper Switch HIGH Position Circuit Malfunction
B1352	Power Tailgate Control Unit Internal (EEPROM) Error
B1375	Driver's Door Power Tailgate Switch Circuit Malfunction
B1376	Tailgate Outer Handle Switch Circuit Malfunction
B1377	Inside Tailgate Switch Circuit Malfunction
B1378	Power Tailgate Right Pinch Sensor Circuit Malfunction
B1380	Power Tailgate Closer Unit Neutral Switch Circuit Malfunction
B1381	Power Tailgate Closer Unit Release Switch Circuit Malfunction
B1382	Power Tailgate Closer Unit Full Latch Switch Circuit Malfunction
B1383	Power Tailgate Closer Unit Ratchet Switch Circuit Malfunction
B1384	Power Tailgate Closer Unit Half Latch Switch Circuit Malfunction
B1386	Power Tailgate Sensor Pulse A Circuit Malfunction
B1387	Power Tailgate Sensor Pulse B Circuit Malfunction
B1388	Power Tailgate Motor Circuit Malfunction
B1389	Power Tailgate Motor Clutch Circuit Malfunction
B1390	Power Tailgate Closer Function Error
B1575	Automatic Lighting Sensor Circuit Malfunction
B1775	Microphone Input/Output Short to Power/Open
B1776	Microphone Input/Output Short to Ground/Open
B1779	HandsFreeLink steering wheel switch failure
B1780	HFL Switch (HFL TALK/HFL BACK Buttons) Circuit Short
B1792	HandsFreeLink Control Unit Internal Error
B1802	Power Seat Control Unit Failure
B1825	Slide Pulse Error
B1826	Front Height Pulse Error
B1827	Rear Height Pulse Error
B1828	Driver's Seat Recline Motor Pulse Error
B1829	A/T-P Signal and VSP Signal Mismatch
B1836	Power Seat Position Sensor Circuit Short
B1837	Memory Position Calling Timeout
B1843	UART Communication Error
B1844	Power Seat Slide Switch Circuit Malfunction
B1845	Power Seat Recline Switch Circuit Malfunction
B1846	Power Seat Front Up-Down Switch Circuit Malfunction
B1847	Power Seat Rear Up-Down Switch Circuit Malfunction
B1900	Communication Circuit Error (BUS-OFF)
B1905	Immobilizer unit lost communication with MICU(door lock switch message)
B1906	Immobilizer Unit Lost Communication With Gauge Control Module (A/T Message)
