B1101	SRSCM Input Voltage High
B1102	SRSCM Input Voltage Low
B1105	Tailgate Reference Voltage Fault
B1111	Battery Voltage High
B1112	Battery Voltage Low
B1200	Humidity Sensor Open
B1201	Humidity Sensor Short(Low)
B1202	Heater Water Temperature Sensor Open (High)
B1203	Heater Water Temperature Sensor Short(Low)
B1204	Air Mix Potentiometer Open (Low)–Passenger
B1205	Air Mix Potentiometer Short (High)–Passenger
B1206	Direction Potentiometer Open (Low)-Passenger
B1207	Direction Potentiometer Short (High)-Passenger
B1208	Intake Potentiometer Open (Low)
B1209	Intake Potentiometer Short (High)
B1210	Front Left Sensor Fault
B1211	Front Center Left Sensor Fault
B1212	Front Center Right Sensor Fault
B1213	Front Right Sensor Fault
B1214	B1214 Rear Left Sensor Fault
B1215	Rear Center Left Sensor Fault
B1216	Rear Center Right Sensor Fault
B1217	Rear Right Sensor Fault
B1220	Vehicle Speed Sensor
B1223	VSS Fault
B1233	In-Car Temperature Sensor Short (Low)
B1234	In-Car Temperature Sensor Open (High)
B1237	Ambient Temperature Sensor Short (Low)
B1238	Ambient Temperature Sensor Open (High)
B1241	Evaporator Sensor Short (Low)
B1242	Evaporator Sensor Open (High)
B1245	Air Mix Potentiometer Open (Low)-Driver
B1246	Air Mix Potentiometer Short (High)-Driver
B1249	Direction Potentiometer Open (Low)-Driver
B1250	Direction Potentiometer Short (High)-Driver
B1257	AQS Sensor Open
B1258	AQS Sensor Short To Ground
B1259	AQS Sensor Fault
B1260	Air Mix Potentiometer Open (Low)-Console
B1261	Air Mix Potentiometer Short (High)-Console
B1262	Direction Potentiometer Open (Low)-Console
B1263	Direction Potentiometer Short (High)-Console
B1270	Sliding Door Optical Sensor-1 Output Stuck High
B1271	Sliding Door Optical Sensor-1 Output Stuck Low
B1272	Sliding Door Optical Sensor-2 Output Stuck High
B1273	Sliding Door Optical Sensor-2 Output Stuck Low
B1274	Sliding Door Broken Cable(PSD Only)
B1275	Air Mix Potentiometer-VENT Open (Low)–Console
B1276	Air Mix Potentiometer VENT Short (High)–Console
B1277	Air Mix Potentiometer-TEMP Open (Low)–Console
B1278	Air Mix Potentiometer-TEMP Short (High)–Console
B1279	Air Mix Switch Potentiometer Open (Low)–Console
B1280	Air Mix Switch Potentiometer Short (High)–Console
