B1200	MPX Body ECU Stop
B1204	Driver Side Seat Switch ECU Communication Stop
B1205	AFS ECU Communication Stop
B1206	P/W Master Switch Communication Stop
B1207	Certification ECU Communication Malfunction
B1210	Power ECU Stop
B1211	Driver Door ECU Communication Stop
B1212	Front Passenger Door ECU Communication Stop
B1213	Tilt and Telescopic ECU Communication Stop
B1214	Short to B+ in Door System Communication Bus Malfunction
B1215	Short to GND in Door System Communication Bus Malfunction
B1216	Rear Door ECU RH Communication Stop
B1217	Rear Door ECU LH Communication Stop
B1247	Tire Pressure Monitor Receiver Communication Stop
B1262	A/C ECU Communication Stop
B1263	Luggage Room Junction Block ECU Communication Stop
B1266	"Short to B+ in Instrument Panel System Communication Bus Malfunction"
B1267	"Short to GND in Instrument Panel System Communication Bus Malfunction"
B1271	Combination Meter ECU Communication Stop
B1272	Power Seat ECU Communication Stop
B1273	Sliding Roof ECU Communication Stop
B1278	Combination Switch ECU Communication Stop
B1279	Rain Sensor Communication Stop
B1280	Left Side Junction Block ECU Communication Stop
B1281	Airbag ECU Communication Stop
B1289	Passenger Seat ECU Communication Stop
B1291	Short to B+ in Light System Communication Bus Malfunction
B1292	Short to GND in Light System Communication Bus Malfunction
B1296	Front Light ECU Communication Stop
B1297	Clearance Sonar ECU Communication Stop
B2271	Ignition Hold Monitor Malfunction
B2275	STSW Monitor Malfunction
B2277	Detecting Vehicle Submersion
B2282	Vehicle Speed Signal Malfunction
B2286	Runnable Signal Malfunction
B2412	Headlight Swivel Motor LH Malfunction
B2779	Engine Starter Communication Malfunction
B2784	Antenna Coil Open / Short
B2785	Ignition Switch On Malfunction (Immobilizer System)
B2786	Ignition Switch Off Malfunction (Immobilizer System)
B278A	Short To GND In Immobilizer System Power Source Circuit
B2790	ID BOX EEPROM Malfunction
B2791	Key Unlock Warning Switch Malfunction (Immobilizer System)
B2795	Unmatch Key Code (Immobilizer System)
B2796	No Communication In Immobilizer System
B2797	Communication Malfunction No. 1 (Immobilizer System)
B2798	Communication Malfunction No. 2 (Immobilizer System)
B2799	Engine Immobiliser System Malfunction
