B1013	Seat Weight Sensor Calibration Error
B1014	Rain Sensor/Auto Light Sensor Malfunction
B1016	Jump Start Control Module Fault
B1031	SDARS Satellite Antenna Open
B1032	SDARS Satellite Antenna Short
B1046	Driver–Side Curtain Air Bag Module And Other Air Bag Module Circuits Short
B1047	Driver-Side Side Air Bag Module And Other Air Bag Module Circuits Short
B1048	Passenger-Side Air Bag Module (Inflator No.1) And Other Air Bag Module Circuits Short
B1049	"Passenger-Side Pre-Tensioner Seat Belt And Other Air Bag
B104B	Driver–Side Side Air Bag Sensor No.1 And Other Sensor Circuits Short To Power Supply
B104C	Passenger–Side Side Air Bag Sensor No.1 And Other Sensor Circuits Short To Power Supply
B104D	Crash Zone Sensor And Other Sensor Circuits Short To Power Supply
B104E	Driver–Side Side Air Bag Sensor No.1 Circuit Open Or Short
B104F	Passenger–Side Side Air Bag Sensor No.1 (Internal Circuit Abnormal)
B1050	Passenger–Side Side Air Bag Sensor No.1 Circuit Open Or Short
B1051	Driver–Side Side Air Bag Sensor No.1 (Internal Circuit Abnormal)
B1054	Driver-Side Pre-Tensioner Seat Belt And Other Air Bag Module Circuits Short
B1055	Passenger–Side Side Air Bag Module And Other Air Bag Module Circuits Short
B1056	"Passenger–Side Curtain Air Bag Module And Other Air Bag
B1057	"Driver-Side Air Bag Module (Inflator No.1) And Other Air Bag
B1058	"Driver–Side Air Bag Module (Inflator No.2) And Other Air Bag
B1059	Passenger–Side Air Bag Module (Inflator No.2) And Other Air Bag Module Circuits Short
B105A	SAS Control Module Activation (Deployment) Control Frequency Error
B105B	Short To The Driver-Side Side Air Bag Sensor No.2 Circuit And Other Sensor Circuits
B105F	Short To The Passenger-Side Side Air Bag Sensor No.2 Circuit And Other Sensor Circuits
B106A	TPMS Sensor Pressure Range Bit Incorrect State
B106B	Tire Pressure Sensor Low Battery
B106C	Tire Pressure Monitor System (TPMS) Low Frequency Subsystem Fault
B106D	TPMS Initiators Not Configured
B106E	Solid State Driver Disabled Due to Short Circuit
B106F	Module Disabled Due to External Fault
B1093	Steering Lock Unit Communication Error
B110C	Driver-Side Side Air Bag Sensor No.2 Circuit Short To Power Supply Or Body Ground
B110D	Passenger-Side Side Air Bag Sensor No.2 Circuit Short To Power Supply Or Body Ground
B110E	Driver-Side Side Air Bag Sensor No.2 ID Mismatch
B110F	Passenger-Side Side Air Bag Sensor No.2 ID Mismatch
B1117	Audio Steering Wheel Button Stuck
B1119	Audio Disc DVD Player Thermal Shutdown
B1126	Steering Lock Unit Internal Malfunction
B1127	Keyless Antenna (trunk)
B1128	Keyless Antenna (Interior, Middle)
B1129	Keyless Antenna (CENTER)
B112A	Keyless Antenna (Interior, Front)
B1131	Keyless Antenna (rear)
B1132	Keyless Antenna (Exterior, LF)
B1133	Keyless Antenna (Exterior, RF)
B1134	Unprogrammed Card Key
B1136	Audio Steering Wheel Switch #2 Circuit Failure
B1137	Data Not Programmed
B1138	Memory Full
B1139	Invalid Transmitter Identification Code
B1140	Map Disk Invalid
B1143	Excessive Battery Contactor Close Requests
B1144	Driver-Side Side Air Bag Sensor No.2 Internal Malfunction
B1145	Driver-Side Side Air Bag Sensor No.2 (Communication Error)
B1146	Passenger-Side Side Air Bag Sensor No.2 Internal Malfunction
B1147	Passenger-Side Side Air Bag Sensor No.2 (Communication Error)
B1155	Subwoofer #1 Short to Battery
B1158	Subwoofer #2 Open
B1200	Climate Control Pushbutton Circuit Failure
B1202	Fuel Gauge Sender Unit Circuit Malfunction (Open Circuit)
B1204	Fuel Gauge Sender Unit Circuit Malfunction (Short To Ground)
B1205	EIC Switch-1 Assembly Circuit Failure
B1206	EIC Switch-1 Assembly Circuit Open
B1208	EIC Switch-1 Assembly Circuit Short To Ground
B1213	Only One Key ID Number Is Registered
B1231	SAS Control Module Activation (Deployment) Control Freeze
B1232	Antenna Not Connected— Defective PATS Transceiver
B1239	Air Flow Blend Door Driver Circuit Failure
B1251	Passenger Compartment Temperature Sensor Circuit Open
B1253	Passenger Compartment Temperature Sensor Circuit Short (Body Ground)
B1255	Air Temperature External Sensor Circuit Open
B1257	Air Temperature External Sensor Circuit Short To Ground
B129B	Driver Blend Door Actuator, Drive Circuit(s) Shorted to Battery Voltage
B129C	Driver Blend Door Actuator, Feedback Circuit Open or Shorted to Battery Voltage
B129D	Driver Blend Door Actuator, Feedback Circuit Shorted to Ground
B129F	Passenger Blend Door Actuator, Drive Circuit(s) Shorted to Battery Voltage
B12A0	Passenger Blend Door Actuator, Feedback Circuit Open or Shorted to Battery Voltage
B12A1	Passenger Blend Door Actuator, Feedback Circuit Shorted to Ground
B12A2	Passenger Blend Door Actuator, Slow or Door Obstructed
B12A4	Mode Door Actuator, Drive Circuit(s) Shorted to Battery Voltage
B12A5	Mode Door Actuator, Feedback Circuit Open or Shorted to Battery Voltage
B12A6	Mode Door Actuator, Feedback Circuit Shorted to Ground
B12A7	Mode Door Actuator, Slow or Door Obstructed
B12A9	Recirculation Door Actuator, Drive Circuit(s) Shorted to Battery Voltage
B12AB	Drivers Heated Seat Relay Drive Circuit Shorted to Battery Voltage
B12AC	Drivers Heated Seat Relay Drive Circuit Open or Shorted to Ground
B12AD	Drivers Heated Seat Relay Drive Circuit Open or Shorted to Ground
B12AE	Passenger Heated Seat Relay Drive Circuit Open or Shorted to Ground
B12AF	Front Blower Motor Relay Drive Circuit Shorted to Battery Voltage
B12B0	Front Blower Motor Relay Drive Circuit Open or Shorted to Ground
B12B1	Front Blower Motor PWM Drive Circuit Shorted to Battery Voltage
B12B2	Front Blower Motor PWM Drive Circuit Open or Shorted to Ground
B12B3	Blend Door Actuator, Drive Circuit(s) Shorted to Battery Voltage
B12B5	Blend Door Actuator, Feedback Circuit Open or Shorted to Battery Voltage
B12B6	Blend Door Actuator, Feedback Circuit Shorted to Ground
B12B7	Blend Door Actuator, Slow or Door Obstructed
B12B8	Blend Door Actuator, Slow or Door Obstructed
B12B9	Vref (5V) Drive Circuit Shorted to Battery Voltage
B12BA	Vref (5V) Drive Circuit Shorted to Ground
B12BE	Heated Backlight/Mirror Relay Drive Circuit Shorted to Battery Voltage
B12BF	Heated Backlight/Mirror Relay Drive Circuit Open or Shorted to Ground
B1302	Accessory Delay Relay Coil Circuit Failure
B1304	Accessory Delay Relay Coil Circuit Failure
B1311	Door Lock-Link Switch Circuit (Unlock) Failure
B1317	Battery Power Supply Voltage High
B1318	Low Power Supply Circuit Voltage
B1320	Driver Door Ajar Circuit Open
B1322	Drive Door Ajar Circuit Short To Ground
B1328	Passenger Door Ajar Circuit Open
B1330	Passenger Door Ajar Circuit Short To Ground
B1331	Decklid Ajar Rear Door Circuit Failure
B1336	Door Ajar RR Circuit Open
B1342	PCM Malfunction
B1352	Ignition Key-In Circuit Failure
B1472	Lamp Headlamp Input Circuit Short to Ground
B1483	Brake Pedal Input Circuit Failure
B1484	Brake Switch System
B1485	Brake Pedal Input Short to Battery
B1506	Turn Signal Right Circuit Short To Ground
B1510	Flash To Pass Switch Circuit Short to Ground
B1520	Bonnet Latch Switch Circuit Open
B1572	Door Ajar LR Circuit Open
B1578	Lamp Park Input Circuit Short To Ground
B1600	The Key ID Number Data Cannot Be Read
B1601	The Instrument Cluster Has Detected Unregistered Key ID Number
B1602	The Instrument Cluster Cannot Read Key ID Number Data Normally
B1614	Rear Wiper Interval Switch Input Circuit Short To Ground
B1624	Lamp Keypad Output Open Circuit
B1626	Lamp Keypad Output Short Circuit to Ground
B1676	Battery Pack Voltage Out of Range
B1681	No Detected Communication With The Coil Antenna
B1685	Lamp Dome Input Circuit Failure
B1688	Lamp Dome Input Circuit Short to Ground
B1696	Autolamp On Circuit Short To Ground
B1791	Autolamp Sensor Input Circuit Open
B1793	Autolamp Sensor Input Circuit Short to Ground
B1868	Air Bag Warning System Light Malfunction
B1869	Lamp Air Bag Warning Indicator Circuit Open / Short to Body Ground
B1870	Lamp Air Bag Warning Indicator Circuit Short to Battery
B1877	Driver-Side Pre-Tensioner Seat Belt Circuit Resistance High
B1878	Driver-Side Pre-Tensioner Seat Belt Circuit Short To Power Supply
B1879	Driver-Side Pre-Tensioner Seat Belt Circuit Short To Body Ground
B1881	Passenger-Side Pre-Tensioner Seat Belt Circuit Resistance High
B1882	Passenger-Side Pre-Tensioner Seat Belt Circuit Short To Power Supply
B1883	Passenger-Side Pre-Tensioner Seat Belt Circuit Short To Body Ground
B1884	Passenger Air Bag Deactivation (PAD) Indicator Circuit Open Or Short To Body Ground
B1885	Driver-Side Pre-Tensioner Seat Belt Circuit Resistance Low
B1886	Passenger-Side Pre-Tensioner Seat Belt Circuit Resistance Low
B1890	Passenger Air Bag Deactivation (PAD) Indicator Circuit Short To Power Supply
B1916	Driver-Side Air Bag Module (Inflator No.1) Circuit Short To Power Supply
B1921	Air Bag Diagnostic Monitor Ground Circuit Open
B1925	Passenger-Side Air Bag Module (Inflator No.1) Circuit Short To Power Supply
B1932	Driver-Side Air Bag Module (Inflator No.1) Circuit Resistance High
B1933	Passenger-Side Air Bag Module (Inflator No.1) Circuit Resistance High
B1934	Driver-Side Air Bag Module (Inflator No.1) Circuit Resistance Low
B1935	Passenger-Side Air Bag Module (Inflator No.1) Circuit Resistance Low
B1936	Driver-Side Air Bag Module (Inflator No.1) Circuit Short To Body Ground
B1938	Passenger-Side Air Bag Module (Inflator No.1) Circuit Short To Body Ground
B1992	Driver–Side Side Air Bag Module Circuit Short To Power Supply
B1993	Driver–Side Side Air Bag Module Circuit Short To Body Ground
B1994	Driver–Side Side Air Bag Module Circuit Resistance High
B1995	Driver–Side Side Air Bag Module Circuit Resistance Low
B1996	Passenger-side Side Air Bag Module Circuit Short To Power Supply
B1997	Passenger-side Side Air Bag Module Circuit Short To Body Ground
B1998	Passenger-side Side Air Bag Module Circuit Resistance High
B1999	Passenger-side Side Air Bag Module Circuit Resistance Low
B2008	Wipers On Signal Circuit Short to Ground
B2031	Left Corner Lamp Output Circuit Failure
B2032	Right Corner Lamp Output Circuit Failure
B2044	Left Rear Stop Lamp Circuit Short to Ground
B2045	Left Rear Stop Lamp Circuit Open
B2046	Right Rear Stop Lamp Circuit Short to Ground
B2047	Right Rear Stop Lamp Circuit Open
B2048	Left Rear Turn Lamp Circuit Short to Ground
B2049	Left Rear Turn Lamp Circuit Open
B2050	Right Rear Turn Lamp Circuit Short to Ground
B2051	Right Rear Turn Lamp Circuit Open
B2071	Hazard Switch Signal Short to Ground
B2077	Liftgate Ajar Sw Circuit Failure
B2097	Compass Module Failure
B2100	Door Driver Key Cylinder Switch Failure
B2103	Coil Antenna Malfunction
B2108	Trunk Key Cylinder Switch Failure
B2139	ID Number Data In The PCM And The Instrument Cluster Do Not Match
B2141	Communication Error Between The Instrument Cluster and the PCM (data transfer error)
B2143	ID Registration Failure
B2170	Push Switch (Steering Lock Unit)
B2172	Inertia Switch Input Circuit Open
B2204	GPS Antenna Connection Open or Short
B2212	Panel Dim Switch Out of Range
B2218	Door Lock Switch Circuit Short To Ground
B2226	Crash Zone Sensor Internal Circuit Disabled
B2227	Crash Zone Sensor Communication Error
B2228	Driver-side Air Bag Module (Inflator No.2) Circuit Short To Body Ground
B2229	Passenger-side Air Bag Module (Inflator No.2) Circuit Short To Body Ground
B2230	Driver-side Air Bag Module (Inflator No.2) Circuit Short To Power Supply
B2231	Passenger-side Air Bag Module (Inflator No.2) Circuit Short To Power Supply
B2232	Driver-side Air Bag Module (Inflator No.2) Circuit Resistance High
B2233	Passenger-side Air Bag Module (Inflator No.2) Circuit Resistance High
B2234	Driver-side Air Bag Module (Inflator No.2) Circuit Resistance Low
B2235	Passenger-side Air Bag Module (Inflator No.2) Circuit Resistance Low
B2254	Front Fog Lamp Switch Failure
B2274	Phone Transceiver Active Circuit Failure
B2276	Less Than 2 Transmitters Programmed
B2277	Electronic Power Steering Motor Malfunction
B2278	Steering Shaft Torque Sensor Malfunction
B227B	Steering Shaft Position Sensor Malfunction
B2281	Right Turn Switch Short to Ground
B2282	Left Turn Switch Short to Ground
B2290	Passenger Sensing System Malfunction
B2384	Audio Reverse Aid Mute Input Ckt. Failure
B2404	Audio Steering Wheel Switch Circuit Fault
B2406	Audio Disc CD Player Internal Fault
B241A	Touch Sensor Circuit Malfunction
B2425	Remote Keyless Entry Out of Synchronization
B2426	Passenger Solar Radiation Sensor Circuit Open
B2427	Passenger Solar Radiation Sensor Circuit Short to Ground
B2431	Key ID Number Registration Error
B2477	Module Configuration Error
B2479	Park Brake Switch Circuit Short to Ground
B2498	Headlamp Switch Multiple Signals Input Active
B2572	Brake Shift Interlock Output Circuit Failure
B2574	Driver Door Lock Switch Short To Ground
B2656	DVD (Digital Versatile Disk) Error
B2666	Liftgate Release Switch Circuit Failure
B2667	Liftglass Release Switch Circuit Failure
B266A	Rotation Sensor Circuit Malfunction
B266B	Rotation Sensor A Circuit Malfunction
B266C	Rotation Sensor B Circuit Malfunction
B266E	Rotation Sensor Malfunction
B267A	Half Latch Switch Circuit Malfunction
B267B	Full Latch Switch Circuit Malfunction
B267C	Return Switch Circuit Malfunction
B2699	PLG Touch Sensor (LH) Circuit Malfunction
B2700	PLG Touch Sensor (RH) Circuit Malfunction
B2701	PLG Touch Sensor (LH) Circuit Malfunction
B2702	PLG Touch Sensor (RH) Circuit Malfunction
B273A	Liftgate Release Output Circuit Shorted to Ground
B273B	Liftgate Release Output Circuit Open or Shorted to Battery Voltage
B2741	Combined Sensor System
B2773	Driver–Side Curtain Air Bag Module Circuit Resistance Low
B2774	Driver–Side Curtain Air Bag Module Circuit Resistance High
B2775	Driver–Side Curtain Air Bag Module Circuit Short To Body Ground
B2776	Driver–Side Curtain Air Bag Module Circuit Short To Power Supply
B2777	Passenger–Side Curtain Air Bag Module Circuit Resistance Low
B2778	Passenger–Side Curtain Air Bag Module Circuit Resistance High
B2779	Passenger–Side Curtain Air Bag Module Circuit Short To Body Ground
B2780	Passenger–Side Curtain Air Bag Module Circuit Short To Power Supply
B2783	Interior Humidity Sensor to DATC Short Circuit
B2784	Interior Humidity Sensor to DATC Open Circuit
B2794	3rd Row Power Fold Circuit Failure
B2795	Driver Solar Radiation Sensor Circuit Short to Ground
B2796	Driver Solar Radiation Sensor Circuit Open
B2821	Closure Motor Circuit Malfunction
B2826	Front Evaporator Temp Sensor Circuit Failure
B2827	Front Evaporator Temp Sensor Short to Ground
B2844	Ignition Fault
B2855	Crash Zone Sensor Circuit Short To Power Supply Or Body Ground
B2856	Crash Zone Sensor System Communication Data Error
B2868	Wheel Unit No.1 Internal Malfunction
B2869	Wheel Unit No.2 Internal Malfunction
B2870	Wheel Unit No.3 Internal Malfunction
B2871	Wheel Unit No.4 Internal Malfunction
B2872	Tire Pressure Sensor Fault
B287A	Tire Pressure System Fault
B2886	Passenger-side Side Air Bag Sensor System Communication Data Error
B2887	Driver-side Side Air Bag Sensor System Communication Data Error
B2900	VIN Mismatched
B2909	Belt Tension Sensor Fault
B2913	Audio Subwoofer Not Connected
B2924	Audio Button Stuck
B2936	PLG Motor Circuit Malfunction
B2937	PLG Motor Circuit Malfunction
B2939	Clutch Circuit Malfunction
B2947	Global Opening/Closing Circuit Open
B2949	Global Opening/Closing Circuit Short to Battery
B2950	Air Conditioning System Fault
B2965	Audio System Speaker Circuit Fault
B297A	Blend Door Actuator, Drive Circuit(s) Open
B297B	Blend Door Actuator, Drive Circuit(s) Shorted to Ground
B297C	Blend Door Actuator, Drive Circuit(s) Shorted to Ground
B297D	Driver Blend Door Actuator, Drive Circuit(s) Shorted to Ground
B297E	Passenger Blend Door Actuator, Drive Circuit(s) Open
B297F	Passenger Blend Door Actuator, Drive Circuit(s) Shorted to Ground
B2982	Parking Brake Switch Circuit Open
B298A	Mode Door Actuator, Drive Circuit(s) Open
B298B	Mode Door Actuator, Drive Circuit(s) Shorted to Ground
B298C	Recirc Door Actuator, Drive Circuit(s) Open
B298D	Recirc Door Actuator, Drive Circuit(s) Shorted to Ground
B29B7	White Lighting Output Circuit Open
B29B8	White Lighting Output Circuit Short to Ground
B2A20	Ignition Stuck In START
B2A21	One or More Configuration Files Missing or Corrupt
B2A22	Headlamp Off Circuit Open
B2A23	High Beam Input Circuit Short to Ground
B2A24	Turn Signal Input Circuit Failure
B2A25	Trim Panel Lock Switch Circuit Failure
B2A27	Right Front Turn Lamp Circuit Open
B2A28	Right Front Turn Lamp Circuit Short to Ground
B2A29	Left Front Turn Lamp Circuit Open
B2A2A	Left Front Turn Lamp Circuit Short to Ground
B2A2B	Left Corner Lamp Output Circuit Short to Ground
B2A2C	Right Corner Lamp Output Circuit Short to Ground
B2A2D	3rd Row Power Fold Circuit Short to Ground
B2A2E	Right Front Lamp Low Beam Circuit Open
B2A2F	Right Front Lamp Low Beam Circuit Short to Ground
B2A30	Left Front Lamp Low Beam Circuit Open
B2A31	Left Front Lamp Low Beam Circuit Short to Ground
B2A32	LED Backlighting Output Circuit Open
B2A33	LED Backlighting Output Circuit Short To Ground
B2A35	Interior Lighting Output Circuit Open
B2A36	Interior Lighting Output Circuit Short to Ground
B2A37	Floor Lamp Output Circuit Open
B2A38	Floor Lamp Output Circuit Short to Ground
B2A39	Puddle Lamp Output Circuit Open
B2A3A	Puddle Lamp Output Circuit Short to Ground
B2A4C	Hybrid Battery Current Sensor Implausible (Failed in Range)
C1095	Pump Motor, Motor Relay System
C1096	Pump motor, motor relay system
C1115	Valve Relay System
C1117	RPM Input Circuit Failure
C1118	Traction Control Indicated Torque Reduction Circuit Failure
C1119	Traction Control Actual Torque Reduction Circuit Failure
C1125	Brake Fluid Level Sensor Input Circuit Failure
C1145	RF ABS Wheel-Speed Sensor (Open Circuit) System
C1148	RF ABS Wheel Speed Sensor/Sensor Rotor
C1155	LF ABS Wheel-Speed Sensor (Open Circuit) System
C1158	LF ABS Wheel Speed Sensor/Sensor Rotor
C1165	RR ABS Wheel-Speed Sensor (Open Circuit) System
C1168	RR ABS Speed Sensor/Sensor Rotor
C1175	LR ABS Wheel-Speed Sensor (Open Circuit) System
C1178	LR ABS Wheel Speed Sensor/Sensor Rotor
C1185	Valve Relay System
C1194	LF Outlet Solenoid Valve System
C1198	LF Inlet Solenoid Valve System
C1210	RF Outlet Solenoid Valve System
C1214	RF Inlet Solenoid Valve System
C1222	ABS Wheel-Speed Sensor System
C1233	LF ABS Wheel-Speed Sensor/ABS Sensor Rotor System
C1234	RF ABS Wheel-Speed Sensor/ABS Sensor Rotor System
C1235	RR ABS Wheel-Speed Sensor/ABS Sensor Rotor System
C1236	LR ABS Wheel-Speed Sensor/ABS Sensor Rotor System
C1242	LR Outlet Solenoid Valve System
C1246	RR Outlet Solenoid Valve System
C1250	LR Inlet Solenoid Valve System
C1254	RR Inlet Solenoid Valve System
C1266	Valve Relay Power Supply
C1277	Steering Wheel Angle 1 and 2 Circuit Failure
C1278	Steering Angle Sensor System
C1279	Yaw Rate Sensor Circuit Failure
C1280	Yaw Rate Sensor In SAS Control Module Is Signal Error
C1281	Lateral Accelerometer Circuit Failure
C1282	G Sensor (Lateral-G) In SAS Control Module Is Signal Error
C1288	Brake Fluid Pressure Sensor System
C1295	Steering Wheel Angle Sensor Internal Fault
C1307	Steering Wheel Angle Sensor Encoder Ring Defective
C1327	Brake Fluid Level Sensor
