P0002	Fuel Volume Regulator Control Circuit Range/Performance
P0003	Fuel Volume Regulator Control Circuit Low
P000E	Fuel Volume Regulator Control Exceeded Learning Limit
P0011	A Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
P0014	B Camshaft Position - Timing Over-Advanced or System Performance (Bank 1)
P0016	Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A)
P0017	Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B)
P0018	Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A)
P0019	Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B)
P0020	B Camshaft Position Actuator Circuit (Bank 2)
P0022	A Camshaft Position - Timing Over-Retarded (Bank 2)
P0024	B Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)
P0025	B Camshaft Position - Timing Over-Retarded (Bank 2)
P002A	B Camshaft Profile Control Circuit/Open Bank 1
P002C	B Camshaft Profile Control Circuit High Bank 1
P0031	Oxygen (A/F) Sensor Heater Control Circuit Low (Bank 1 Sensor 1)
P0032	Oxygen (A/F) Sensor Heater Control Circuit High (Bank 1 Sensor 1)
P0036	HO2S Heater Control Circuit (Bank 1 Sensor 2)
P0037	HO2S Heater Control Circuit Low (Bank 1 Sensor 2)
P0038	HO2S Heater Control Circuit High (Bank 1 Sensor 2)
P003C	A Camshaft Profile Control Circuit Performance/Stuck Off Bank 1
P003D	A Camshaft Profile Control Circuit Stuck On Bank 1
P0040	O2 Sensor Signals Swapped Bank 1 Sensor 1 / Bank 2 Sensor 1
P0041	O2 Sensor Signals Swapped Bank 1 Sensor 2 / Bank 2 Sensor 2
P004F	Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic
P0050	HO2S Heater Control Circuit (Bank 2 Sensor 1)
P0051	Oxygen (A/F) Sensor Heater Control Circuit Low (Bank 2 Sensor 1)
P0052	Oxygen (A/F) Sensor Heater Control Circuit High (Bank 2 Sensor 1)
P0056	HO2S Heater Control Circuit (Bank 2 Sensor 2)
P0057	HO2S Heater Control Circuit Low (Bank 2 Sensor 2)
P0058	HO2S Heater Control Circuit High (Bank 2 Sensor 2)
P005B	B Camshaft Profile Control Circuit Stuck On Bank 1
P0063	HO2S Heater Control Circuit Low (Bank 2 Sensor 3)
P0064	HO2S Heater Control Circuit High (Bank 2 Sensor 3)
P0068	MAP/MAF - Throttle Position Correlation
P0069	Manifold Absolute Pressure - Barometric Pressure Correlation
P0072	Ambient Air Temperature Sensor Circuit Low
P0073	Ambient Air Temperature Sensor Circuit High
P0079	Exhaust Valve Control Solenoid Circuit Low (Bank 1)
P007A	Charge Air Cooler Temperature Sensor Circuit Bank 1
P007F	Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation
P0090	Fuel Pressure Regulator 1 Control Circuit Open
P009A	Intake Air Temperature/Ambient Air Temperature Correlation
P00A6	Intake Air Temperature (IAT) Sensor 2 Circuit Range/Performance Bank 2
P00A9	Intake Air Temperature Sensor 2 Circuit Intermittent Bank 2
P00AA	Intake Air Temperature Sensor 1 Circuit Malfunction Bank 2
P00AB	Intake Air Temperature (IAT) Sensor 1 Circuit Range/Performance Bank 2
P00AD	Intake Air Temperature Sensor 1 Circuit High Bank 2
