B1000	Control Panel Communication Error
B1001	Interior Temperature Sensor System
B1002	Heater air intake duct sensor system (open circuit)
B1003	Mode Dial SW Error
B1011	Ambient air temperature sensor system (short circuit)
B1012	Ambient air temperature sensor system (open circuit)
B1018	Temperature Control Dial SW Error
B1021	Air thermo sensor system (short circuit)
B1022	Air thermo sensor system (open circuit)
B1031	Air Thermo Sensor System
B1032	Air Thermo Sensor System
B1034	Ambient Air Temperature Sensor System
B1035	Ambient Air Temperature Sensor System
B1041	Air mixing damper control motor and potentiometer (potentiometer system shorted to its power supply)
B1042	Air mixing damper control motor and potentiometer (potentiometer system shorted to its ground)
B1045	Air mixing damper control motor and potentiometer (activating system failure)
B1061	Mode selection damper control motor and potentiometer (potentiometer system shorted to its power supply)
B1062	Mode selection damper control motor and potentiometer (potentiometer system shorted to its ground)
B1065	Mode selection damper control motor and potentiometer (activating system failure)
B1079	Refrigerant Leaks
B10C0	Interior Temperature Sensor System
B10C1	Interior Temperature Sensor System (Open)
B1400	Driver’s air bag module (1st squib) system fault 1 (short circuit between terminals of the squib circuit)
B1401	Driver’s air bag module (1st squib) system fault 2 (open in the squib circuit)
B1402	Driver’s air bag module (1st squib) system fault for ground circuit (short-circuited to ground)
B1403	Driver’s air bag module (1st squib) system fault for power supply circuit (short-circuited to power supply)
B1404	Driver’s air bag module (1st squib ignition drive circuit) system detected short circuit
B1405	Driver’s air bag module (1st squib ignition drive circuit) system detected open circuit
B1406	Front impact sensor (RH) system for fault 1
B1407	Front impact sensor (RH) power supply circuit system
B1408	Front impact sensor (RH) (squib) for power supply circuit
B1409	Front impact sensor (RH) (squib) for communication system
B1410	Passenger’s (front) air bag module (1st squib) system fault 1 (short circuit between terminals of the squib circuit)
B1411	Passenger’s (front) air bag module (1st squib) system fault 2 (open in the squib circuit)
B1412	Passenger’s (front) air bag module (1st squib) system fault for ground circuit (short-circuited to ground)
B1413	Passenger’s (front) air bag module (1st squib) system fault for power supply circuit (short-circuited to power supply)
B1414	Front passenger’s air bag module (1st squib ignition drive circuit)
B1415	Front passenger’s air bag module (1st squib ignition drive circuit)
B1416	Front impact sensor (LH) system for fault 1
B1417	Front impact sensor (LH) power supply circuit system
B1418	Front impact sensor (LH) (squib) communication Error
B1419	Front impact sensor (LH) (squib) for communication system
B1420	Side-airbag module (RH) (squib) system fault 1 (short circuit between terminals of the squib circuit)
B1421	Side-airbag module (RH) (squib) system fault 2 (open in the squib circuit)
B1422	Side-airbag module (RH) (squib) system fault ground circuit (short-circuited to ground)
B1423	Side-airbag module (RH) (squib) system fault power supply circuit (short-circuited to power supply)
B1424	Side-airbag module (RH) (squib ignition drive circuit)
B1425	Side-airbag module (RH) (squib ignition drive circuit)
B1426	Side impact sensor (RH) system for fault 1
B1427	Side impact sensor (RH) power supply circuit system
B1428	Side impact sensor (RH) (squib) for power supply circuit
B1429	Side impact sensor (RH) (squib) for communication system
B1430	Side-airbag module (LH) (squib) system fault 1 (short circuit between terminals of the squib circuit)
B1431	Side-airbag module (LH) (squib) system fault 2 (open in the squib circuit)
B1432	Side-airbag module (LH) (squib) system fault ground circuit (short-circuited to ground)
B1433	Side-airbag module (LH) (squib) system fault power supply circuit (short-circuited to power supply)
B1434	Side-airbag module (LH) (squib ignition drive circuit)
B1435	Side-airbag module (LH) (squib ignition drive circuit)
B1436	Side impact sensor (LH) system for fault 1
B1437	Side impact sensor (LH) power supply circuit system
B1438	Side impact sensor (LH) (squib) for power supply circuit
B1439	Side impact sensor (LH) (squib) for communication system
B1440	Curtain air bag module (RH) (squib) system fault 1 (short circuit between terminals of the squib circuit)
B1441	Curtain air bag module (RH) (squib) system fault 2 (open in the squib circuit)
B1442	Curtain air bag module (RH) (squib) system fault ground circuit (short-circuited to ground)
B1443	Curtain air bag module (RH) (squib) system fault ground circuit (short-circuited to ground)
B1444	Curtain air bag module (RH) (squib ignition drive circuit)
B1445	Curtain air bag module (RH) (squib ignition drive circuit)
B1446	Side Impact Sensor (Rear: RH) System for Fault
B1447	Side Impact Sensor (Rear: RH) Power Supply Circuit System
B1448	Side Impact Sensor (Rear: RH) (Squib) for Power Supply Circuit
B1450	Curtain Air Bag Module (LH) (Squib) System (Short Circuit between Squib Circuit Terminals)
B1451	Curtain Air Bag Module (LH) (Squib) System (Squib Circuit Open)
B1452	Curtain Air Bag Module (LH) (Squib) System (Squib Circuit Open)
B1453	Curtain Air bag Module (LH) (Squib) System (Shorted to Squib Circuit Power Supply)
B1454	Curtain air bag module (LH) (squib ignition drive circuit)
B1455	Curtain air bag module (LH) (squib ignition drive circuit)
B1457	Side Impact Sensor (Rear: LH) Power Supply Circuit System
B1458	Side Impact Sensor (Rear: LH) (Squib) for Power Supply Circuit
B1460	Seat belt pre-tensioner (RH) (squib) system fault 1 (short circuit between terminals of the squib circuit)
B1461	Seat belt pre-tensioner (RH) (squib) system fault 2 (open in the squib circuit)
B1462	Seat belt pre-tensioner (RH) (squib) system fault for ground circuit (short-circuit to ground)
B1463	Seat belt pre-tensioner (RH) (squib) system fault for power supply circuit (short-circuited to power supply)
B1464	Seat belt pre-tensioner (RH) (squib ignition drive circuit)
B1465	Seat belt pre-tensioner (RH) (squib ignition drive circuit)
B1466	Analog G-sensor
B1467	Safing G-sensor (front air bag)
B1468	Safing G-sensor (front air bag)
B1469	Safing G-sensor (side-airbag)
B1470	Seat belt pre-tensioner (LH) (squib) system fault1 (short circuit between terminals of the squib circuit)
B1471	Seat belt pre-tensioner (LH) (squib) system fault 2 (open in the squib circuit)
B1472	Seat belt pre-tensioner (LH) (squib) system fault for ground circuit (short-circuit to ground)
B1473	Seat belt pre-tensioner (LH) (squib) system fault for power supply circuit (short-circuited to power supply)
B1474	Seat belt pre-tensioner (LH) (squib ignition drive circuit)
B1475	Seat belt pre-tensioner (LH) (squib ignition drive circuit)
B1476	IG1 power supply circuit system (fuse No.3 circuit)
B1477	IG1 power supply circuit system (fuse No.2 circuit)
B1478	Capacitor
B1479	Capacitor
B1480	Driver’s air bag module (2nd squib) system fault 1 (short circuit between terminals of the squib circuit)
B1481	Driver’s air bag module (2nd squib) system fault 2 (open in the squib circuit)
B1482	Driver’s air bag module (2nd squib) system fault for ground circuit (short-circuited to ground)
B1483	Driver’s air bag module (2nd squib) system fault for power supply circuit (Short-circuited to power supply)
B1484	Driver’s air bag module (2nd squib ignition drive circuit)
B1485	Driver’s air bag module (2nd squib ignition drive circuit)
B1486	Passenger seat belt warning light drive circuit system fault 2
B1487	Passenger seat belt warning light drive circuit system fault 1 (Light does not Illuminate).
B1488	Passenger air bag OFF indicator light drive circuit system fault 2
B1489	Passenger air bag OFF indicator light drive circuit system fault 1 Light does not switch off
B1490	Passenger’s (front) air bag module (2nd squib) system fault 1 (short circuit between terminals of the squib circuit)
B1491	Passenger’s (Front) Air Bag Module (2nd Squib) System Fault 2 (Open In The Squib Circuit)
B1492	Passenger’s (front) air bag module (2nd squib) system fault for ground circuit (short-circuited to ground)
B1493	Passenger’s (front) air bag module (2nd squib) system fault for power supply circuit (short-circuited to power supply)
B1494	Front Passenger’s Air Bag Module (2nd Squib Ignition Drive Circuit)
B1495	Front passenger’s air bag module (2nd squib ignition drive circuit)
B1496	Non-volatile memory (EEPROM)
B1497	Application Specific Integrated Circuit (For Frontal Activation)
B1498	ROM or RAM
B1499	SRS-ECU air bag condition monitor detects deployed air bag
B1506	Seat Slide Sensor System Fault 1 (Open In The Seat Slide Sensor Circuit)
B1507	Seat slide sensor system fault ground circuit (short- circuited to ground)
B1508	Seat slide sensor system fault power supply circuit (short- circuited to power supply)
B1509	Improper installation of SRS-ECU
B1519	Connector lock system detects connector unlocked
B1520	Seat belt switch (LH) malfunction
B1521	Seat belt switch (LH) circuit open (for Normal/Close terminal)
B1522	Seat belt switch (LH) circuit (ground side) shorted (for Normal/Close terminal)
B1523	Seat belt switch (LH) circuit (power supply side) shorted (for Normal/Close terminal)
B1524	Malfunction Of The Normal/Open Terminal Or Short Circuit In Its Harness
B1525	Seat belt switch (LH) circuit (ground side) shorted (for Normal/Open terminal)
B1526	Seat belt switch (LH) circuit (ground side) shorted (for Normal/Open terminal)
B1527	Seat Belt Switch (LH) Circuit Open (For Common Terminal)
B1528	Seat belt switch (LH) circuit (ground side) shorted (for common terminal )
B1529	Seat belt switch (LH) circuit (power supply side) shorted (for common terminal)
B1530	Seat Belt Switch (RH) Malfunction
B1531	Seat belt switch (RH) circuit open (for Normal/Close terminal)
B1532	Seat belt switch (RH) circuit (ground side) shorted (for Normal/Close terminal)
B1533	Seat Belt Switch (RH) Circuit (Power Supply Side) Shorted (For Normal/Close Terminal)
B1534	Seat belt switch (RH) circuit open (for Normal/Open terminal)
B1535	Seat belt switch (RH) circuit (ground side) shorted (for Normal/Open terminal)
B1536	Seat Belt Switch (RH) Circuit (Power Supply Side) Shorted (For Normal/Open Terminal)
B1537	Seat belt switch (RH) circuit open (for common terminal)
B1538	Seat belt switch (RH) circuit (ground side) shorted (for common terminal)
B1539	Seat Belt Switch (RH) Circuit (Power Supply Side) Shorted (For Common Terminal)
B1540	Occupant classification-ECU malfunction
B1541	Occupant classification-ECU calibration malfunction
B1542	Occupant Classification Sensor (S1) Malfunction
B1543	Occupant classification sensor (S2) malfunction
B1545	Occupant classification-ECU for power supply circuit
B1546	Occupant classification-ECU for communication system
B1548	CAN communication impossible
B1549	CAN communication error
B1552	Changing of Power Supply
B1553	Changing of Power Supply
B1554	SG-BYPASS
B1555	SG-BYPASS
B1556	Seat slide sensor system for fault 2 (malfunction of seat slide sensor)
B1557	Application specific integrated circuit
B1558	Occupant Classification-ECU ID-Cord Malfunction
B1761	Vehicle Identification Number (VIN) code not programmed
B1A08	Keyless/KOS key1 performance
B1A09	Keyless/KOS key2 performance
B1A0A	Keyless/KOS key3 performance
B1A0B	Keyless/KOS key4 performance
B1A10	Keyless/KOS key 1 low battery
B1A11	Keyless/KOS key 2 low
B1A12	Keyless/KOS key 3 low battery
B1A13	Keyless/KOS Key 4 Low Battery
B1A24	Key ID not registered
B1A25	Key ID unmatched
B1A28	Engine control module authenticate error
B1A35	Transponder read error
B1B78	Passenger Seat Weight Sensor (front: LH) Performance
B1B79	Passenger Seat Weight Sensor (Ground Side) Short- Circuited (Front: LH)
B1B7D	Passenger Seat Weight Sensor (front: RH) Performance
B2101	IG SW start POS. circuit low
B2204	Coding Data Mismatch
B2206	VIN Code Mismatch
B2214	Control Panel Failure
B222C	Coding Not Completed
B223B	Control Panel Improperly Assembled
B2352	Antenna Malfunction
B2400	KOS Key Registration Malfunction
B2401	Keyless/KOS key ID not registered
B2402	Steering Lock Unit communication error (System ID)
B2403	Steering Lock Unit communication. (CRC)
B2404	Steerin Unit Communication. (function code)
B2405	Steerin Unit Communication. (rolling code)
B2406	Steering Unit Communication. (PTC operate)
B2408	Steering Lock Unit comm. (solenoid)
B2409	Steering Unit Communication (No response)
B240A	Drives Side Antenna (outdoor) Open
B240B	Passenger’s Side antenna (outdoor) open
B240D	Front Antenna(indoor) Open
B240E	RR Antenna (Indoor) Open
B2412	LF Antenna Power Voltage
B2413	Steering Lock Unit (power voltage)
B2415	Receiver Antenna Module Power Voltage
B2416	KOS-ECU Internal Error
C1000	Abnormality in Stoplight Switch Circuit
C100A	Abnormality In FL Wheel Speed Sensor Circuit
C1011	Abnormality in FL wheel speed sensor signal
C1014	Mutual monitoring of FL wheel speed sensor
C1015	Abnormality In FR Wheel Speed Sensor Circuit
C101C	Abnormality in FR wheel speed sensor signal
C101F	Mutual monitoring of FR wheel speed sensor
C1020	Abnormality In RL Wheel Speed Sensor Circuit
C1027	Abnormality in RL wheel speed sensor signal
C102A	Mutual monitoring of RL wheel speed sensor
C102B	Abnormality In RR Wheel Speed Sensor Circuit
C1032	Abnormality in RR wheel speed sensor signal
C1042	Abnormality in periodical signal for FR wheel speed sensor
C1043	Abnormality In Periodical Signal For RL Wheel Speed Sensor
C1044	Abnormality In Periodical Signal For RR Wheel Speed Sensor
C1046	FL wheel speed sensor control phase time exceeded
C1047	FR Wheel Speed Sensor Control Phase Time Exceeded
C1048	RL wheel speed sensor control phase time exceeded
C1049	RR wheel speed sensor control phase time exceeded
C104B	Abnormality in FL wheel inlet valve system
C104F	Abnormality in FR wheel inlet valve system
C1053	Abnormality in RL wheel inlet valve system
C1057	Abnormality In RR Wheel Inlet Valve System
C105B	Abnormality in RR wheel outlet valve system
C105F	Abnormality in FL wheel outlet valve system
C1063	Abnormality in FR wheel outlet valve system
C1067	Abnormality in RL wheel outlet valve system
C1073	Faulty motor drive circuit
C1200	Abnormality In FL/RR Wheel Cut Valve System
C1204	Abnormality in FR/RL wheel cut valve system
C1208	Abnormality in FL/RR wheel suction valve system
C120C	Abnormality In FR/RL Wheel Suction Valve System
C1210	Abnormality In G & Yaw Rate Sensor
C1219	Abnormality in Steering Wheel Sensor Signal
C123A	Abnormality in sensor calibration
C123B	Prolonged operation of ASC
C123C	Abnormality in lateral G and yaw rate output value (incorrect installation)
C1242	Abnormality In G And Yaw Rate Sensor (Abnormality In Longitudinal G Sensor Output Signal)
C1608	Implausible diagnosis data (EEPROM failure)
C2002	Valve calibration not completed
C2003	Control Parameter Not Implement
C2101	Abnormality in battery voltage (high voltage)
C2104	Faulty valve power supply circuit
C2111	Brake Fluid Pressure Sensor Power Supply Circuit (High input)
C2112	Brake Fluid Pressure Sensor Power Supply Circuit (Low input)
C2114	Abnormality in G and yaw rate sensor operation voltage (Low voltage)
C2115	Abnormality In G And Yaw Rate Sensor Operation Voltage (High Voltage)
C2116	Low or high power supply voltage in pump motor
C2200	Abnormality in ASC-ECU
C2203	VIN Not Recorded
C2204	Internal abnormality in G and yaw rate sensor
C2205	Internal malfunction of steering wheel sensor
C2206	Re-Execution Of Variant Coding
P1020	Innovative Valve Timing and Lift Electronic Control System (MIVEC) Performance Problem
P1101	Traction Control Vacuum Solenoid Circuit Malfunction
