B1100	Integ. Unit System Error
B1101	Batt P/Supply Malfunction
B1102	Batt P/Supply Malfunction Backup
B1103	Ignition Power Failure
B1104	ACC Power Failure
B1105	Key Interlock Circuit Abnormal
B1106	Shift Lock Circuit Failure
B1401	M Collation NG
B1402	Immobilizer Key Collation NG
B1403	E/G request NG
B1500	Keyless UART Communication Failure
P1086	Tumble generator valve #2 (LH) position sensor circuit low input
P1087	Tumble generator valve #2 (LH) position sensor circuit high input
P1088	Tumble generator valve #1 (RH) position sensor circuit low input
P1089	Tumble generator valve #1 (RH) position sensor circuit high input
P1090	Tumble generator valve #1 (RH) malfunction (stuck open)
P1091	Tumble generator valve #1 (RH) malfunction (stuck close)
P1092	Tumble generator valve #2 (LH) malfunction (stuck open)
P1093	Tumble generator valve #2 (LH) malfunction (stuck close)
P1094	Tumble generator valve circuit #1 (open circuit)
P1095	Tumble generator valve circuit #1 (over current)
P1096	Tumble generator valve circuit #2 (open circuit)
P1097	Tumble generator valve circuit #2 (over current)
P1100	Starter Switch Circuit Malfunction
P1101	Neutral Position Switch Circuit High Input (A/T)
P1102	Pressure Sources Solenoid Valve Circuit Malfunction
P1103	Pressure Sources Switching Solenoid Valve Circuit
P1104	Engine Torque Control Signal Circuit Malfunction
P1106	Engine Torque Control Signal 2 Circuit Malfunction
P1107	Air Injection System Diagnosis Solenoid Valve Circuit Malfunction
P1108	Induction Control Solenoid Valve Circuit Malfunction
P1110	Atmospheric pressure sensor low input
P1111	Atmospheric pressure sensor high input
P1112	Atmospheric pressure sensor range/performance problem
P1115	Engine Torque Control Cut Signal Circuit High Input
P1116	Engine Torque Control Cut Signal Circuit Low Input
P1120	Starter Switch High Input
P1121	Neutral Position Switch Circuit High Input [MT Vehicles]
P1122	Pressure Sources Switching Valve Circuit High Input
P1124	TCS Signal Circuit High Input
P1130	Front oxygen sensor circuit malfunction (open circuit)
P1131	Front oxygen sensor circuit malfunction (short circuit)
P1132	Front Oxygen Sensor Heater Circuit Low Input
P1133	Front Oxygen Sensor Heater Circuit High Input
P1134	Front oxygen (A/F) sensor microcomputer problem
P1137	Front oxygen (A/F) sensor circuit range/performance problem
