B1206	P/W Master Switch Communication Stop
B1242	Wireless Door Lock Tuner Circuit Malfunction
B1273	Sliding Roof ECU Communication Stop
B1421	Solar Sensor Circuit (Passenger Side)
B1443	Air Outlet Damper Control Servo Motor Circuit
B1499	Multiplex Communication Circuit
B14A1	Air Purifier Open Circuit
B14A2	Driver Side Solar Sensor Short Circuit
B1500	Fuel Sender Open Detected
B1503	Exhaust Heat Management Warning Detected
B1504	Lost Communication with Steering SW
B1561	XM Tuner Disconnected (Command Line)
B1562	XM Tuner Disconnected (Burst Mode)
B1570	Manual (SOS) Switch Red Indicator Malfunction
B1571	Manual (SOS) Switch Green Indicator Malfunction
B1572	Telephone Microphone Error
B1573	Short in Telephone Antenna Circuit
B1582	Map Disk Reading Malfunction
B1583	GPS Signal Unreceived
B1593	No Response from Stereo Component Amplifier
B159F	No Response from XM Tuner
B15A0	LAN Master Malfunction
B15A3	Stereo Component Amplifier Malfunction
B15A8	Telematics Transceiver Malfunction
B15AD	Navigation Processor Malfunction
B15B0	Display Screen Malfunction
B15B3	Radio Tuner Malfunction
B15B7	Bluetooth Module Malfunction
B15BA	XM Tuner Malfunction
B15C0	Short in GPS Antenna
B15C1	Open in GPS Antenna
B15C2	Speed Signal Malfunction
B15C4	Airbag Signal Malfunction/Not Input
B15C5	Manual Button Malfunction
B15CB	Telematics Transceiver Antenna Disconnected
B15CC	Backup Battery Failure
B15D3	Stereo Component Amplifier Disconnected
B15D8	Monitor Disconnected
B15E1	Media Malfunction
B15EC	Backup Battery Degradation
B15FE	XM Tuner Antenna Disconnected
B15FF	XM Tuner Antenna Short
B1603	Front Satellite Sensor BUS RH Initialization Incomplete
B1650	Occupant Classification System Malfunction
B1771	Passenger Side Buckle Switch Circuit Malfunction
B1780	Occupant Classification Sensor Front LH Circuit Malfunction
B1781	Occupant Classification Sensor Front RH Circuit Malfunction
B1782	Occupant Classification Sensor Rear LH Circuit Malfunction
B1783	Occupant Classification Sensor Rear RH Circuit Malfunction
B1785	Occupant Classification Sensor Front LH Collision Detection
B1786	Occupant Classification Sensor Front RH Collision Detection
B1787	Occupant Classification Sensor Rear LH Collision Detection
B1788	Occupant Classification Sensor Rear RH Collision Detection
B1790	Airbag Sensor Assy Center Communication Circuit Malfunction
B1793	"Occupant Classification Sensor Power Supply Circuit Malfunction"
B1794	Occupant Classification ECU Battery Positive Line Open
B1795	Occupant Classification ECU Malfunction
B1796	Sleep Operation Failure Of Occupant Classification ECU
B2271	Ignition Hold Monitor Malfunction
B2274	ACC Monitor Malfunction
B2275	STSW Monitor Malfunction
B2277	Detecting Vehicle Submersion
B2282	Vehicle Speed Signal Malfunction
B2284	Brake Signal Malfunction
B2286	Runnable Signal Malfunction
B2287	LIN Communication Master Malfunction
B2321	Driver Side Door ECU Communication Stop
B2322	Front Passenger Side Door ECU Communication Stop
B2323	Rear Door RH ECU Communication Stop
B2324	Rear Door LH ECU Communication Stop
