P1004	Torque difference cylinder 1 Limiting value exceeded
P1005	Torque difference cylinder 2 Limiting value exceeded
P1007	Torque difference cylinder 4 Limiting value exceeded
P1009	Air mass meter 1/2 implausible signal from load detection
P1025	Fuel Pressure Regulator Valve Mechanical Malfunction
P1026	Activation Intake Manifold Flap for Air Stream Regulation Short Circuit to B+
P1027	Activation Intake Manifold Flap for Air Stream Regulation Short Circuit to Ground
P1028	Activation Intake Manifold Flap for Air Stream Regulation Open Circuit
P1093	Fuel Trim 2, Bank 1 Malfunction
P1100	O2 Sensor Circuit (Bank 1-Sensor 2) Heating Circuit Voltage Too Low
P1102	O2S Heating Circuit Bank 1 Sensor 1 Voltage Too Low/Air Leak
P1103	O2 Sensor Circuit (Bank 1-Sensor 1) Output Too Low
P1105	O2S Heating Circuit Bank 1 Sensor 2 Short To Positive
P1107	O2S Heating Circuit Bank 2 Sensor 1 Short To Positive
P1110	O2S Heating Circuit Bank 2 Sensor 2 Short To Positive
P1111	O2 Control (Bank 1) System Too Lean
P1112	O2 Control (Bank 1) System Too Rich
P1113	O2S Sensor Heater Resistance Too High Bank 1 Sensor 1
P1114	O2 Control (Bank 1 Sensor 2) Internal Resistance Too High
P1115	O2S Sensor Heater Circuit Short To Ground Bank 1 Sensor 1
P1116	O2S Sensor Heater Circuit Open Bank 1 Sensor 1
P1117	O2S Sensor Heater Circuit Short To Ground Bank 1 Sensor 2
P1118	O2S Sensor Heater Circuit Open Bank 1 Sensor 2
P1127	Long Term Fuel Trim B1 System Too Rich
P1128	Long Term Fuel Trim B1 System Too Lean
P1129	Long Term Fuel Trim B2 System Too Rich
P1130	Long Term Fuel Trim B2 System Too Lean
P1136	Long Term Fuel Trim Add. Fuel B1 System Too Lean
P1137	Long Term Fuel Trim Add. Fuel B1 System Too Rich
P1138	Long Term Fuel Trim Add. Fuel B2 System Too Lean
P1139	Long Term Fuel Trim Add. Fuel B2 System Too Rich
P1141	Load Calculation Cross Check Range/Performance
P1142	Load Calculation Cross Check Lower Limit
P1143	Load Calculation Cross Check Upper Limit
P1144	Mass Air Flow Sensor Open/Short To Ground
P1145	Mass Air Flow Sensor Short To Positive
P1146	Mass Air Flow Sensor Supply Voltage
P1149	O2 Control (Bank 1) Out of Range
P1150	Lack of HO2S-21 Switching, Fuel Trim At Rich/Lean Limit
P1151	Long Term Fuel Trim (Bank1, Range 1) Leanness Lower Limit Exceeded
P1152	Long Term Fuel Trim (Bank1, Range 2) Leanness Lower Limit Exceeded
P1155	Manifold Absolute Pressure Sensor Short To Positive
P1156	Manifold Absolute Pressure Sensor Open/Short To Ground
P1157	Manifold Absolute Pressure Sensor Supply Voltage
P1160	Intake Air Temperature Sensor Short To Ground
P1161	Intake Air Temperature Sensor Open/Short To Positive
P1162	Intake Air Temperature Sensor Short To Ground
P1163	Fuel Temperature Sensor Open/Short To Positive
P1164	Fuel Temperature Sensor Implausible Signal
P1165	Bank 1, Long Term Fuel Trim, Range 1 Rich Limit Exceeded
P1166	Bank 1, Long Term Fuel Trim, Range 2 Rich Limit Exceeded
P1171	Throttle Actuation Potentiometer Sign. 2 Range/Performance
P1172	Throttle Actuation Potentiometer Sign. 2 Signal Too Low
P1173	Throttle Actuation Potentiometer Sign. 2 Signal Too High
P1176	Rear O2S Correction
P1177	O2 Correction Behind Catalyst B1 Limit Attained
P1178	Linear O2 Sensor/Pump Current Open Circuit
P1179	Linear O2 Sensor/Pump Current Short to Ground
P117A	Fuel System Out Of Range
P1180	Linear O2 Sensor / Pump Current Short to B+
P1181	Linear O2 Sensor / Reference Voltage Open Circuit
P1182	Linear O2 Sensor/Reference Voltage Short to Ground
P1183	Linear O2 Sensor / Reference Voltage Short to B+
P1184	Linear O2 Sensor / Common Ground Wire Open Circuit
