B0000	ISO/SAE Reserved
B0004	PCM Discrete Input Speed Signal Not Present
B0005	In Park Switch Circuit Malfunction
B0006	ISO/SAE Reserved
B0007	ISO/SAE Reserved
B0008	ISO/SAE Reserved
B0009	ISO/SAE Reserved
B000A	ISO/SAE Reserved
B000B	ISO/SAE Reserved
B000C	ISO/SAE Reserved
B000D	ISO/SAE Reserved
B000E	ISO/SAE Reserved
B000F	ISO/SAE Reserved
B0014	ISO/SAE Reserved
B0015	ISO/SAE Reserved
B0016	RF/Passenger Frontal Deployment Loop (Single Stage or Stage 1) Resistance Low
B0017	RF/Passenger Frontal Deployment Loop (Single Stage or Stage 1) Open
B0018	RF/Passenger Frontal Deployment Loop (Single Stage or Stage 1) Short to Ground/Voltage Out of Range
B0019	ISO/SAE Reserved
B001A	ISO/SAE Reserved
B001B	ISO/SAE Reserved
B001C	ISO/SAE Reserved
B001D	ISO/SAE Reserved
B001E	ISO/SAE Reserved
B001F	ISO/SAE Reserved
B0022	LF/Driver Frontal Deployment Loop (Single Stage or Stage 1) Resistance Low
B0023	ISO/SAE Reserved
B0024	LF/Driver Frontal Deployment Loop (Single Stage or Stage 1) Short to Ground/Voltage Out of Range
B0025	ISO/SAE Reserved
B0026	LF/Driver Frontal Deployment Loop (Single Stage or Stage 1) Open
B0027	ISO/SAE Reserved
B0028	RF/Passenger Side Deployment Loop Resistance Low
B0029	RF/Passenger Side Deployment Loop Open
B002A	Right Curtain Deployment Control 2 (Subfault)
B002B	ISO/SAE Reserved
B002C	ISO/SAE Reserved
B002D	ISO/SAE Reserved
B002E	ISO/SAE Reserved
B002F	ISO/SAE Reserved
B0030	RF/Passenger Side Deployment Loop Short to Ground/Voltage Out of Range
B0034	ISO/SAE Reserved
B0035	ADS Closed/Shorted to Ground
B0036	ADS Open/Missing/Shorted to Battery
B0037	AUX switch closed/shorted to ground
B0038	AUX switch open/shorted to battery
B003C	ISO/SAE Reserved
B003D	ISO/SAE Reserved
B003E	ISO/SAE Reserved
B003F	ISO/SAE Reserved
B0040	LF/Driver Side Deployment Loop Resistance Low
B0041	LF/Driver Side Deployment Loop Open
B0044	ISO/SAE Reserved
B0045	LF Side Deploy Loop Short to Ground/Voltage Out of Range
B0046	ISO/SAE Reserved
B0047	ISO/SAE Reserved
B0048	Third Row Right Side Airbag Deployment Control (Subfault)
B0049	Third Row Right Frontal Stage 1 Deployment Control (Subfault)
B004A	Third Row Right Frontal Stage 2 Deployment Control (Subfault)
B004B	Third Row Right Frontal Stage 3 Deployment Control (Subfault)
B004C	ISO/SAE Reserved
B004D	ISO/SAE Reserved
B004E	ISO/SAE Reserved
B004F	ISO/SAE Reserved
B0051	Deployment Commanded
B0053	Deployment Commanded with Loop Malfunctions Present
B0054	Second Row Center Seatbelt Sensor (Subfault)
B0055	Second Row Right Seatbelt Sensor (Subfault)
B0056	Third Row Left Seatbelt Sensor (Subfault)
B0057	RF/Passenger Pretensioner Deployment Loop Resistance Low
B0058	RF/Passenger Pretensioner Deployment Loop Open
B0059	RF/Passenger Pretensioner Deployment Loop Short to Ground/Voltage Out of Range
B005A	ISO/SAE Reserved
B005B	ISO/SAE Reserved
B005C	ISO/SAE Reserved
B005D	ISO/SAE Reserved
B005E	ISO/SAE Reserved
B005F	ISO/SAE Reserved
B0063	ISO/SAE Reserved
B0064	LF/Driver Pretensioner Deployment Loop Resistance Low
B0065	LF/Driver Pretensioner Deployment Loop Open
B0066	LF/Driver Pretensioner Deployment Loop Short to Ground/Voltage Out of Range
B0067	ISO/SAE Reserved
B0068	ISO/SAE Reserved
B0069	ISO/SAE Reserved
B006A	ISO/SAE Reserved
B006B	ISO/SAE Reserved
B006C	ISO/SAE Reserved
B006D	ISO/SAE Reserved
B006E	ISO/SAE Reserved
B006F	ISO/SAE Reserved
B0073	Supplemental Deployment Loop #1 Resistance Low
B0074	Supplemental Deployment Loop #1 Open
B0075	Supplemental Deployment Loop #1 Short to Ground/Voltage Out of Range
B0076	Third Row Left Seatbelt Pretensioner Deployment Control (Subfault)
B0077	LF/Driver SIS Malfunction
B0078	RF/Passenger SIS Malfunction
B0079	Incorrect LF/Driver SIS Installed
B007A	Passenger Seatbelt Pretensioner B Deployment Control (Subfault)
B007B	Second Row Left Seatbelt Pretensioner B Deployment Control (Subfault)
B007C	Second Row Right Seatbelt Pretensioner B Deployment Control (Subfault)
B007D	Second Row Center Seatbelt Pretensioner B Deployment Control (Subfault)
B0080	Discard LF/Driver SIS
B0081	Incorrect RF/Passenger SIS Installed
B0082	Discard RF/Passenger SIS
B0086	Supplemental Deployment Loop #2 Resistance Low
B0087	Supplemental Deployment Loop #2 Open
B0088	Supplemental Deployment Loop #2 Short to Ground/Voltage Out of Range
B0089	ISO/SAE Reserved
B008A	ISO/SAE Reserved
B008B	ISO/SAE Reserved
B008C	ISO/SAE Reserved
B008D	ISO/SAE Reserved
B008E	ISO/SAE Reserved
B008F	ISO/SAE Reserved
B0090	Active switch voltage out of range
B0091	Active switch: wrong state
B0092	PPS passenger detection error
B0093	PPS/CPS self-test malfunction
B0094	CPS childseat detection error
B0095	SDM-PPS/CPS mismatch malfunction
B009B	Left Side Restraints Sensor 5 (Subfault)
B009C	Left Side Restraints Sensor 6 (Subfault)
B009E	Right Side Restraints Sensor 5 (Subfault)
B00A1	Occupant Position System (Subfault)
B00A2	ISO/SAE Reserved
B00A3	ISO/SAE Reserved
B00A4	ISO/SAE Reserved
B00A5	ISO/SAE Reserved
B00A6	ISO/SAE Reserved
B00A7	ISO/SAE Reserved
B00A8	ISO/SAE Reserved
B00A9	ISO/SAE Reserved
B00AA	ISO/SAE Reserved
B00AB	ISO/SAE Reserved
B00AC	ISO/SAE Reserved
B00AD	ISO/SAE Reserved
B00AE	ISO/SAE Reserved
B00AF	ISO/SAE Reserved
B00B0	Driver Seat Occupant Classification Sensor A (Subfault)
B00B1	Driver Seat Occupant Classification Sensor B (Subfault)
B00B2	Driver Seat Occupant Classification Sensor C (Subfault)
B00B3	Driver Seat Occupant Classification Sensor D (Subfault)
B00B4	Driver Seat Occupant Classification Sensor E (Subfault)
B00B6	Driver Seat Recline Position Restraints Sensor (Subfault)
B00B7	Driver Seat Occupant Position Sensor A (Subfault)
B00B8	Driver Seat Occupant Position Sensor B (Subfault)
B00B9	Driver Seat Occupant Position Sensor C (Subfault)
B00BA	Driver Seat Occupant Position Sensor D (Subfault)
B00BB	Driver Seat Occupant Position Sensor E (Subfault)
B00BC	ISO/SAE Reserved
B00BD	ISO/SAE Reserved
B00BE	ISO/SAE Reserved
B00BF	ISO/SAE Reserved
B00C2	Passenger Seat Occupant Classification Sensor C (Subfault)
B00C3	Passenger Seat Occupant Classification Sensor D (Subfault)
B00C4	Passenger Seat Occupant Classification Sensor E (Subfault)
B00C6	Passenger Seat Recline Position Restraints Sensor (Subfault)
B00C7	Passenger Seat Occupant Position Sensor A (Subfault)
B00C8	Passenger Seat Occupant Position Sensor B (Subfault)
B00C9	Passenger Seat Occupant Position Sensor C (Subfault)
B00CA	Passenger Seat Occupant Position Sensor D (Subfault)
B00CB	Passenger Seat Occupant Position Sensor E (Subfault)
B00CC	ISO/SAE Reserved
B00CD	ISO/SAE Reserved
B00CE	ISO/SAE Reserved
B00CF	ISO/SAE Reserved
B00D0	Driver Seatbelt Indicator (Subfault)
B00D1	Passenger Seatbelt Indicator (Subfault)
B00D7	ISO/SAE Reserved
B00D8	ISO/SAE Reserved
B00D9	ISO/SAE Reserved
B00DA	ISO/SAE Reserved
B00DB	ISO/SAE Reserved
B00DC	ISO/SAE Reserved
B00DD	ISO/SAE Reserved
B00DE	ISO/SAE Reserved
B00E0	Third Row Left Seatbelt Pretensioner B Deployment Control (Subfault)
B00E1	Third Row Right Seatbelt Pretensioner B Deployment Control (Subfault)
B00E2	Third Row Center Seatbelt Pretensioner B Deployment Control (Subfault)
B00E3	Second Row Left Seatbelt Pretensioner C Deployment Control (Subfault)
B00E4	Second Row Right Seatbelt Pretensioner C Deployment Control (Subfault)
B00E5	Second Row Center Seatbelt Pretensioner C Deployment Control (Subfault)
B00E6	Third Row Right Seatbelt Pretensioner C Deployment Control (Subfault)
B00E7	Third Row Left Seatbelt Pretensioner C Deployment Control (Subfault)
B00E8	Third Row Center Seatbelt Pretensioner C Deployment Control (Subfault)
B00E9	ISO/SAE Reserved
B00F1	ISO/SAE Reserved
B00F2	ISO/SAE Reserved
B00F3	ISO/SAE Reserved
B00F4	ISO/SAE Reserved
B00F5	ISO/SAE Reserved
B00F6	ISO/SAE Reserved
B00F7	ISO/SAE Reserved
B00F8	ISO/SAE Reserved
B00F9	ISO/SAE Reserved
B00FA	ISO/SAE Reserved
B00FB	ISO/SAE Reserved
B00FC	ISO/SAE Reserved
B00FD	ISO/SAE Reserved
B00FE	ISO/SAE Reserved
B00FF	ISO/SAE Reserved
B0100	ISO/SAE Reserved
B0101	ISO/SAE Reserved
B0102	ISO/SAE Reserved
B0103	ISO/SAE Reserved
B0104	ISO/SAE Reserved
B0105	ISO/SAE Reserved
B0106	ISO/SAE Reserved
B0107	ISO/SAE Reserved
B0108	ISO/SAE Reserved
B0109	ISO/SAE Reserved
B010A	ISO/SAE Reserved
B010B	ISO/SAE Reserved
B010C	ISO/SAE Reserved
B010D	ISO/SAE Reserved
B010E	ISO/SAE Reserved
B010F	ISO/SAE Reserved
B0110	ISO/SAE Reserved
B0111	ISO/SAE Reserved
B0112	ISO/SAE Reserved
B0113	ISO/SAE Reserved
B0114	ISO/SAE Reserved
B0115	ISO/SAE Reserved
B0116	ISO/SAE Reserved
B0117	ISO/SAE Reserved
B0118	ISO/SAE Reserved
B0119	ISO/SAE Reserved
B011A	ISO/SAE Reserved
B011B	ISO/SAE Reserved
B011C	ISO/SAE Reserved
B011D	ISO/SAE Reserved
B011E	ISO/SAE Reserved
B011F	ISO/SAE Reserved
B0120	ISO/SAE Reserved
B0121	ISO/SAE Reserved
B0122	ISO/SAE Reserved
B0123	ISO/SAE Reserved
B0124	ISO/SAE Reserved
B0125	ISO/SAE Reserved
B0126	Right Panel Discharge Temperature Fault
B0127	ISO/SAE Reserved
B0128	ISO/SAE Reserved
B0129	ISO/SAE Reserved
B012B	ISO/SAE Reserved
B012C	ISO/SAE Reserved
B012D	ISO/SAE Reserved
B012E	ISO/SAE Reserved
B012F	ISO/SAE Reserved
B0130	ISO/SAE Reserved
B0131	Right Heater Discharge Temperature Fault
B0132	ISO/SAE Reserved
B0133	ISO/SAE Reserved
B0134	ISO/SAE Reserved
B0135	ISO/SAE Reserved
B0136	ISO/SAE Reserved
B0137	ISO/SAE Reserved
B0138	ISO/SAE Reserved
B0139	ISO/SAE Reserved
B013A	ISO/SAE Reserved
B013B	ISO/SAE Reserved
B013C	ISO/SAE Reserved
B013D	ISO/SAE Reserved
B013E	ISO/SAE Reserved
