# https://turbododgeparts.com/content/faqs/pt_cruiser_odb2_fault_code_list.html
B0000	ISO/SAE Reserved
B0001	Driver Frontal Stage 1 Deployment Control (Subfault)
B0002	Driver Frontal Stage 2 Deployment Control (Subfault)
B0004	Driver Knee Bolster Deployment Control (Subfault)
B0006	ISO/SAE Reserved
B0007	ISO/SAE Reserved
B0008	ISO/SAE Reserved
B0009	ISO/SAE Reserved
B000A	ISO/SAE Reserved
B000B	ISO/SAE Reserved
B000C	ISO/SAE Reserved
B000D	ISO/SAE Reserved
B000E	ISO/SAE Reserved
B000F	ISO/SAE Reserved
B0010	Passenger Frontal Stage 1 Deployment Control (Subfault)
B0011	Passenger Frontal Stage 2 Deployment Control (Subfault)
B0014	ISO/SAE Reserved
B0015	ISO/SAE Reserved
B0016	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0017	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0018	Right Front/Passenger Frontal Deployment Loop (Stage 1) Circuit
B0019	ISO/SAE Reserved
B001A	ISO/SAE Reserved
B001B	ISO/SAE Reserved
B001C	ISO/SAE Reserved
B001D	ISO/SAE Reserved
B001E	ISO/SAE Reserved
B001F	ISO/SAE Reserved
B0020	Left Side Airbag Deployment Control (Subfault)
B0021	Left Curtain Deployment Control 1 (Subfault)
B0022	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0023	ISO/SAE Reserved
B0024	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0025	ISO/SAE Reserved
B0026	Left Front/Driver Frontal Deployment Loop (Stage 1) Circuit
B0027	ISO/SAE Reserved
B0028	Right Side Airbag Deployment Control (Subfault)
B0029	Right Curtain Deployment Control 1 (Subfault)
B002A	Right Curtain Deployment Control 2 (Subfault)
B002B	ISO/SAE Reserved
B002C	ISO/SAE Reserved
B002D	ISO/SAE Reserved
B002E	ISO/SAE Reserved
B002F	ISO/SAE Reserved
B0034	ISO/SAE Reserved
B0035	ISO/SAE Reserved
B0036	ISO/SAE Reserved
B0037	ISO/SAE Reserved
B003C	ISO/SAE Reserved
B003D	ISO/SAE Reserved
B003E	ISO/SAE Reserved
B003F	ISO/SAE Reserved
B0044	ISO/SAE Reserved
B0045	ISO/SAE Reserved
B0046	ISO/SAE Reserved
B0047	ISO/SAE Reserved
B0048	Third Row Right Side Airbag Deployment Control (Subfault)
B0049	Third Row Right Frontal Stage 1 Deployment Control (Subfault)
B004A	Third Row Right Frontal Stage 2 Deployment Control (Subfault)
B004B	Third Row Right Frontal Stage 3 Deployment Control (Subfault)
B004C	ISO/SAE Reserved
B004D	ISO/SAE Reserved
B004E	ISO/SAE Reserved
B004F	ISO/SAE Reserved
B0050	Driver Seatbelt Sensor (Subfault)
B0051	Deployment Commanded
B0052	Passenger Seatbelt Sensor (Subfault)
B0053	Deployment Commanded with Loop Malfunctions Present
B0054	Second Row Center Seatbelt Sensor (Subfault)
B0055	Second Row Right Seatbelt Sensor (Subfault)
B0056	Third Row Left Seatbelt Sensor (Subfault)
B005A	ISO/SAE Reserved
B005B	ISO/SAE Reserved
B005C	ISO/SAE Reserved
B005D	ISO/SAE Reserved
B005E	ISO/SAE Reserved
B005F	ISO/SAE Reserved
B0063	ISO/SAE Reserved
B0064	ISO/SAE Reserved
B0065	ISO/SAE Reserved
B0066	ISO/SAE Reserved
B0067	ISO/SAE Reserved
B0068	ISO/SAE Reserved
B0069	ISO/SAE Reserved
B006A	ISO/SAE Reserved
B006B	ISO/SAE Reserved
B006C	ISO/SAE Reserved
B006D	ISO/SAE Reserved
B006E	ISO/SAE Reserved
B006F	ISO/SAE Reserved
