P0001	Fuel high pressure regulation electrovalve control : Open circuit
P0003	Fuel high pressure regulation electrovalve control : Short circuit to earth
P0004	Fuel high pressure regulation electrovalve control : Short circuit to positive
P0010	Inlet variable timing electrovalve control fault : Open circuit
P0011	Fault in the inlet camshaft dephasing : Coherence
P0016	Inlet cylinder reference sensor signal fault : Camshaft and crankshaft dephasing
P0030	Upstream oxygen sensor heating control fault : Coherence
P0031	Upstream oxygen sensor heating control fault : Short circuit to earth
P0032	Upstream oxygen sensor heating control fault : Short circuit to positive
P0033	Turbine discharge electrovalve control fault : Open circuit – Valve jammed closed
P0034	Turbine discharge electrovalve control fault : Short circuit to earth – Valve jammed closed
P0035	Turbine discharge electrovalve control fault : Short circuit to positive ; Solenoid valve jammed open
P0037	Downstream oxygen sensor heating control fault : Short circuit to earth
P0038	Downstream oxygen sensor heating control fault : Short circuit to positive
P0039	Turbine discharge electrovalve control fault : Coherence, valve jammed closed
P0053	Upstream oxygen sensor resistor fault : Open circuit or short circuit to earth
P0054	Downstream oxygen sensor resistor fault : Resistance too high
P0070	Ambient air temperature information received from the BSI fault : Value received incorrect
P0071	Ambient air temperature information received from the BSI fault : Coherence
P0072	Ambient air temperature information received from the BSI fault : Coherence
P0073	Ambient air temperature information received from the BSI fault : Coherence
P0074	Ambient air temperature information received from the BSI fault : Coherence
P0087	Fuel high pressure common injection rail pressure regulation fault : Fuel pressure too low
P0088	Petrol high pressure regulation fault : Fuel pressure too high
P0106	Inlet manifold pressure sensor signal fault : Coherence
P0107	Inlet manifold pressure sensor signal fault : Short circuit to positive or open circuit
P0108	Inlet manifold pressure sensor signal fault : Short circuit to earth
P0109	Inlet manifold pressure sensor signal fault : Coherence
P0111	Inlet air temperature sensor signal fault : Coherence
P0112	Inlet air temperature sensor signal fault : Short circuit to earth
P0113	Inlet air temperature sensor signal fault : Open circuit or short circuit to the plus
P0117	Engine coolant temperature sensor signal fault : Short circuit to earth
P0118	Engine coolant temperature sensor signal fault : Short circuit to positive or open circuit
P0119	Engine coolant temperature sensor signal fault : Coherence
P0121	Butterfly position sensor signal fault : Incoherence of signals 1 and 2
P0122	Butterfly position sensor signal fault (1 signal : Short circuit to earth or open circuit)
P0123	Butterfly position sensor signal fault (1 signal : Short circuit to positive)
P0130	Upstream oxygen sensor signal fault : Open circuit
P0131	Upstream oxygen sensor signal fault : Short circuit to earth
P0132	Upstream oxygen sensor signal fault : Short circuit to positive
P0133	Upstream oxygen sensor signal fault : Ageing or coherence
P0134	Upstream oxygen sensor signal fault : No signal
P0135	Upstream oxygen sensor heating control fault : Open circuit
P0138	Downstrean oxygen sensor signal fault : Short circuit to positive
