#VIN code	Description
A	Alfa Romeo Stelvio (base model) Q4 Awd '18, Stelvio (base model) '19-'20, Stelvio Sport '19-'20, Stelvio Sprint '21-'24, Stelvio (base model) '25, Tonale Sprint '24, Tonale (base model) '25
B	Alfa Romeo Stelvio Ti Q4 Awd '18-'24, Stelvio Ti Lusso Q4 Awd '19-'20, Stelvio Ti Sport Q4 Awd '19-'21, Stelvio Veloce Q4 Awd '22-'24, Stelvio Estrema '23, Stelvio Lusso '23, Stelvio Competizione '24, Stelvio Tributo Italiano '25
C	Alfa Romeo Tonale Ti '24
D	Alfa Romeo Tonale Veloce '24
E	Alfa Romeo Stelvio Quadrifoglio Q4 Awd '18-'24, Stelvio Quadrifoglio 100th Anniversary Edition Q4 Awd '24
N	Alfa Romeo Stelvio Ti Sport Q4 Awd '18
P	Alfa Romeo Stelvio Sport Q4 Awd '18
R	Alfa Romeo Stelvio Ti Lusso Q4 Awd '18
S	Alfa Romeo Tonale Speciale '24
T	Alfa Romeo Tonale Tributo Italiano '25
