#VIN code	Description
A	4001-5000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags ('12-'17 Jeep Wrangler, '18 Wrangler JK)
B	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags ('12-'17 Jeep Wrangler, '18 Wrangler JK)
C	4001-5000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('15-'18 Jeep Renegade)
E	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('15-'18 Ram ProMaster City)
E	8001-9000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) (Early '21 Ram ProMaster 1500/2500)
F	9001-10,000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) (Early '21 Ram ProMaster 3500)
G	4001-5000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('12-'23 Jeep Wrangler, '18 Wrangler JK)
H	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('12-'23 Jeep Wrangler, '18 Wrangler JK, '20- Gladiator, '19-'22 Ram ProMaster City)
H	4001-5000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) (Early '23 Dodge Hornet GT)
J	6001-7000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('12 Dodge Ram 1500 Regular Cab, '13-'18 Ram 1500 Regular Cab, '19-'23 Ram 1500 Classic Regular Cab, '12-'15 Ram C/V, '20-'23 Jeep Wrangler, '20- Gladiator)
L	8001-9000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('12 Dodge Ram 2500 Regular Cab, '13-'18 Ram 2500 Regular Cab, '21- Ram ProMaster 1500/2500)
M	9001-10,000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (Front Row) ('14- Ram 2500 Regular Cab, '21- Ram ProMaster 3500)
N	4001-5000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12- Jeep Compass, '12-'17 Patriot, '19-'23 Renegade, '23- Dodge Hornet GT)
P	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12-'20 Dodge Journey, '12 Jeep Liberty, '14-'23 Cherokee, '24- Wrangler, '24- Dodge Hornet R/T PHEV)
R	6001-7000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12 Dodge Ram 1500 Quad/Crew Cab, '13- Ram 1500 Quad/Crew Cab, '19-'24 Ram 1500 Classic Quad/Crew Cab, '12-'20 Dodge Grand Caravan, '12-'14 Ram C/V, '12-'16 Chrysler Town & Country, '12-'14 VW Routan, '17- Chrysler Pacifica, '20- Chrysler Voyager, '21- Chrysler Grand Caravan [Can.], '12- Jeep Grand Cherokee, '21- Grand Cherokee L, '22 Grand Cherokee WK, '12- Dodge Durango, '24- Jeep Wrangler, '24- Jeep Wagoneer S)
S	7001-8000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12- Dodge Durango, '19- Ram 1500 Quad/Crew Cab, '22- Jeep Wagoneer, Grand Wagoneer, '23- Wagoneer L, Grand Wagoneer L)
T	8001-9000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12 Dodge Ram 2500 Crew/Mega Cab, '13- Ram 2500 Crew Cab, '13-'18 Ram 2500 Mega Cab, '14-'20 Ram ProMaster 1500/2500)
U	9001-10,000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows) ('12 Dodge Ram 2500 Crew/Mega Cab, '13- Ram 2500 Crew/Mega Cab, '14-'20 Ram ProMaster 3500)
3	10,001-14,000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts ('12 Dodge Ram 3500, '13- Ram 3500)
W	Vehicles classified as Incomplete Vehicles w/Hydraulic Brakes ('12 Dodge Ram 3500/4500/5500 Chassis Cab, '13- Ram 3500/4500/5500 Chassis Cab, '14- Ram ProMaster Chassis Cab & Cutaway, some wheelchair vans based on '13-'20 Dodge Grand Caravan, '13-'16 Chrysler Town & Country, Ram pickups with box delete option)
