#VIN	Size	Type	Fuel	Valvetrain	Engine Family/Notes/Applications
A	1.7L	I4	Gas	SOHC, valve	2-bbl carb. Volkswagen EA827 engine. Dodge Omni, Omni 024, Plymouth Horizon, Horizon TC3 ('81-'82).
A	1.6L	I4	Gas	OHV	2-bbl carb. Simca Poissy engine 6J2 (built by Peugeot).odge Omni, Charger, Plymouth Horizon, Turismo ('83-'86).
A	1.4L	I4	Gas	SOHC, valve	2-bbl carb. Mitsubishi Orion engine 4G12. Dodge/Plymouth Colt ('84).
A	2.2L	I4 Turbo IC	Gas	SOHC, valve	MPI. Chrysler "K-car engine" - Turbo II (EDR). Dodge Daytona Shelby Z w/manual trans. ('87-'88),aytona Shelby w/manual trans., C/S Competition Package ('89), Lancer Shelby w/manual trans. ('88-'89),hrysler LeBaron GTS sedan w/manual trans. [H-body], LeBaron GTC coupe/conv. w/manual trans. [J-body] ('89).
A	1.5L	I4	Gas	SOHC,2 valve	MPI. Mitsubishi Orion engine 4G15 (EJB). '91-'94 (& '95 in Canada) Dodge/Plymouth Colt, '91-'96 Eagle Summit.
A	2.2L	I4 Turbo IC	Gas	DOHC,6 valve	MPI. Chrysler "K-car engine" - Turbo III (EDS). Dodge Spirit R/T ('91-'92), Daytona IROC R/T ('92-'93).
A	2.0L	I4	Gas	DOHC,6 valve	Sequential MPI. Dual VVT. Chrysler World Gasoline Engine (ECN). Dodge Caliber ('09-'12).
A	2.0L	I4	Gas	DOHC,6 valve	Sequential MPI. Dual VVT. Chrysler Tigershark Engine (ECK). Dodge Dart ('13-'16).
B	2.2L	I4	Gas	SOHC, valve	2-bbl carb. Chrysler "K-car engine" (Trans-4). Dodge Aries, Omni, 024, Plymouth Reliant, Horizon, TC3 ('81-'82),odge 400, Chrysler LeBaron ('82).
B	1.7L	I4	Gas	SOHC, valve	2-bbl carb. Volkswagen EA827 engine. Dodge Omni, Charger, Plymouth Horizon, Turismo ('83).
B	1.6L	I4	Gas	SOHC, valve	2-bbl carb. Mitsubishi Saturn engine 4G32. Dodge/Plymouth Colt ('84)
B	3.0L	V6	Gas	DOHC,4 valve	MPI. Mitsubishi Cyclone engine 6G72 (EF8). '91-'92 Dodge Stealth (ES & R/T).
