#VIN code	Description
A	Avenger SE '12-'14, Charger Police RWD '12-'23, Challenger SXT RWD '12-'23, 200 LX sedan '12-'14, 300 (base model) RWD '12-'14, Fiat 500 Pop '12-'16, Dart SE '13-'16, Dart Aero '13, Viper (base model) '13-'17, Challenger R/T '15, 200 Limited '15-'17, 300 Limited RWD '15-'17, Dart SE Rallye '16,iat 500 Pop '17 (Canada), 300 Touring RWD '18-'23, 300 Touring-L RWD '18-'21
B	Caliber SE '12, Avenger R/T '12-'14, Charger SE RWD '12-'17, Challenger R/T '12-'14, 200 Touring sedan '12-'14, 300S V6 RWD '12, Fiat 500 Sport '12-'16,art SXT, SXT Rallye '13-'16, Viper GTS '13-'17, 300S RWD '13-'23, Challenger R/T Mopar '14 Edition 2014, Challenger SXT Plus '15,hallenger R/T Plus '15, 200S FWD '15-'17, Challenger R/T '16-'23, Challenger T/A '17-'23, Charger SXT RWD '18-'23
C	Avenger SXT '12-'14, Charger R/T RWD '12-'23, Challenger SRT-8 '12-'14, 200 Limited sedan '12-'14, 300 Limited RWD '12, Fiat 500 Lounge '12-'19,art Limited '13-'16, Dart GT '13, Dart Limited Mopar '13 Edition 2013, Challenger SRT Hellcat '15-'23, 200C FWD '15-'17, Viper ACR '16-'17,harger Daytona '17-'23, Charger Daytona R/T '24-'25
D	Caliber SXT '12, Avenger Lux '12, Charger R/T AWD '12-'14, 300S V8 RWD '12, 300S V8 RWD Mopar '12 Edition 2012, Fiat 500c Pop '12-'16,hallenger SRT-8 Core '13-'14, 300C John Varvatos RWD '13-'14, Dart Aero '14-'16, Challenger SRT 392 '15-'18, Viper GTC '15-'17, 200S AWD '15-'17,iat 500c Pop '17 (Canada), 300 Touring-L RWD '22-'23, Charger Daytona Scat Pack '24-'25
E	Caliber SXT Plus '12, Avenger SXT Plus '12, Charger SRT-8 '12-'14, 200 Touring convert. '12-'14, 300C RWD '12-'17, Fiat 500c Lounge '12-'19,art GT '14-'16, Charger SRT 392 '15-'18, 200C AWD '15-'17, 300 Limited RWD '18-'20
F	Chrysler 200 Limited convert. '12-'14, 300 SRT-8 '12-'13, Fiat 500 Abarth '12-'19, Charger SE AWD '13-'17, Chrysler 300 SRT Premium '14,hallenger R/T Scat Pack '15-'23, 200 LX '15-'17, Dart SXT Sport, SXT Sport Rallye, Turbo '16, Challenger R/T Scat Pack Mopar '17 Edition 2017, Challenger T/A 392 '17-'23, Challenger R/T Scat Pack Mopar '19 Edition 2019, Challenger R/T Scat Pack Mopar '23 Edition 2023,hallenger R/T Scat Pack Shakedown Special Edition '23, Challenger R/T Scat Pack Swinger Special Edition '23
G	Charger SRT-8 Super Bee '12-'14, 200S convert. '12-'14, 300S V6 AWD '12, 300S AWD '13-'20, Fiat 500e '13-'19, Charger R/T Scat Pack '15-'18,art GT Sport '16, Challenger GT AWD '17-'18, Charger Daytona 392 '17-'23, Challenger SXT AWD '19-'23, Charger Scat Pack '19-'23,00S AWD '21-'23 (Canada), Charger Scat Pack Mopar '23 Edition 2023, Charger Scat Pack Swinger Special Edition '23,harger Scat Pack Super Bee Special Edition '23
H	Charger SXT RWD '12-'17, 200S sedan '12, 300 Limited AWD '12, Fiat 500 Turbo '13-16, Challenger SRT Demon '18, Charger SXT Plus RWD '18,harger GT RWD '19-'23
J	Charger SXT AWD '12-'17, 300S V8 AWD '12, 300C John Varvatos AWD '13-'14, Fiat 500c Abarth '13-'19, Charger GT AWD '18,hallenger GT RWD '19-'23, Charger SXT AWD '19-'23
K	300C AWD '12-'17, Charger Police AWD '14-'23, Fiat 500 Easy '16, Fiat 500 Pop '17-'19, 300 Limited AWD '18-'20, Challenger GT AWD '19-'23
L	Charger SRT Hellcat '15-'23, Fiat 500c Easy '16, Fiat 500c Pop '17-'19, Challenger SRT Hellcat Redeye '19-'23, Challenger SRT Super Stock '20-'23, Charger SRT Hellcat Daytona '20, Charger SRT Hellcat Redeye '21-'22, Challenger SRT Hellcat Redeye Jailbreak '22-23,harger SRT Hellcat Redeye Jailbreak '22-23, Challenger SRT Demon 170 '23, Challenger SRT Hellcat Redeye Black Ghost Special Edition '23,harger SRT Hellcat Redeye King Daytona Special Edition '23
M	Charger GT AWD '20-'23
P	300C Luxury Series RWD '12-'14, 300C Platinum RWD '15-'17, 300C RWD '18-'20, 300C 6.4L RWD '23
R	300 (base model) AWD '13-'14, 300 Limited AWD '15-'17, 300 Touring AWD '18-'23, 300 Touring-L AWD '18-'21
S	300C Luxury Series AWD '12-'14, 300C Platinum AWD '15-'17, 300 Touring-L AWD '22-'23
X	300 SRT Core '13-'14
