#Code	Description
A	Lynch Road Assembly plant, Detroit, MI, USA (closed in 1981)
A	AMC designation for Bramalea Assembly plant, 2000 Williams Parkway East, Brampton, Ontario, Canada (1988 Eagle Premier only)
A	Chrysler Technology Center, Auburn Hills, MI, USA (Pilot & Pre-Production)
B	AMC designation for Brampton Assembly plant, Kennedy Road, Brampton, Ontario, Canada (1988 Eagle Wagon & 1987-1988 Jeep Wrangler)
B	Maserati/Innocenti plant, Milan, Italy (Chrysler TC by Maserati)
B	St. Louis South Assembly, Fenton, MO, USA (1995-2007)
C	Jefferson Ave. Assembly plant, Detroit, MI, USA (closed in 1990)
C	Jefferson North Assembly plant, Detroit, MI, USA (opened in 1992) (also known as Detroit Assembly Complex - Jefferson)
D	Belvidere Assembly plant, Belvidere, IL, USA (idled February 2023)
E	Diamond-Star Motors/Mitsubishi Motor Manufacturing of America, Normal, IL, USA (Chrysler production ended in 2005)
E	Saltillo Van Assembly, Saltillo, Coahuila, Mexico (opened in 2013)
F	Newark Assembly plant, Newark, DE, USA (closed in December 2008)
F	FCA India Automobiles plant, Ranjangaon, Maharashtra, India (Jeep Compass & Meridian/Commander)
G	St. Louis (#1) South Assembly, Fenton, MO, USA (-1991) (idled 1991-1995)
G	Saltillo Truck Assembly, Saltillo, Coahuila, Mexico (opened in 1995)
H	Brampton Assembly plant, 2000 Williams Parkway East, Brampton, Ontario, Canada (originally called Bramalea Assembly) (1989-)
H	Mitsubishi Motors Thailand plant, Laem Chabang, Chonburi Province, Thailand (Dodge Attitude - Mexico only)
J	AMC Brampton Assembly plant, Kennedy Road, Brampton, Ontario, Canada (AMC plant acquired by Chrysler in 1987, closed in 1992)
J	Mitsubishi Motors - Pajero Manufacturing Co., Ltd. plant, Sakahogi, Gifu prefecture, Japan (Dodge Raider)
J	St. Louis North Assembly, Fenton, MO, USA (1996-2009)
J	FCA Poland plant, Tychy, Poland (Jeep Avenger)
K	Pillette Road Truck Assembly plant, Pillette Road, Windsor, ON, Canada (closed in 2003)
K	FCA Brazil Goiana plant, Goiana, Pernambuco, Brazil (Jeep Renegade, Compass, & Commander)
L	Jeep Parkway plant, Toledo, OH, USA (1989-2001; closed in 2001)
L	Toledo Supplier Park (South plant), Toledo, OH, USA (opened in 2006)
M	Lago Alberto Assembly, Nuevo Polanco district, Miguel Hidalgo borough, Mexico City, Mexico (closed in 2002)
N	Sterling Heights Assembly plant, Sterling Heights, MI, USA
P	Mitsubishi Motors Ooe (Nagoya #2) plant, Nagoya, Aichi prefecture, Japan
P	Jeep Stickney Avenue plant, Toledo, OH, USA (1989-2006; closed in 2006)
P	Fiat Melfi (SATA) plant, Melfi, Italy (Jeep Renegade & Compass)
R	Windsor Assembly plant, 2199 Chrysler Centre, Windsor, ON, Canada
S	Warren Truck Assembly, Warren, MI, US (also known as Dodge City)
T	Toluca Assembly, Toluca, Mexico state, Mexico
T	AMC designation for production in Toledo, OH, USA (Jeep through 1988)
U	Mitsubishi Motors Mizushima plant, Kurashiki, Okayama prefecture, Japan
U	Eurostar plant, Graz, Austria (Chrysler Voyager 1992-2002, PT Cruiser 2001-2002)
V	New Mack Assembly plant, Mack Ave., Detroit, MI, USA (1991-1995; closed in 1995) (1992-1996 model year Viper RT/10)
V	Conner Ave. Assembly plant, (actually at 20000 Conner Street), Detroit, MI, USA (1995-2017; closed in 2017)
(began with 1996 Viper GTS & 1997 Viper RT/10)
W	Kenosha Main Plant, Kenosha, WI (AMC plant acquired by Chrysler in 1987, closed in December 1988)
W	Toledo Assembly #3 plant, Toledo, OH, USA (1994-1996 Dodge Dakota)
W	Toledo North Assembly plant, Toledo, OH, USA (opened in 2001)
X	St. Louis (#2) North Assembly, Fenton, MO, USA (-1995)
X	Karmann plant, Osnabrueck, Germany (2004-2008 Chrysler Crossfire)
Y	Mitsubishi Motors Ooe (Nagoya #1) plant, Nagoya, Aichi prefecture, Japan
Y	Kenosha Lakefront Plant, Kenosha, WI (AMC plant acquired by Chrysler in 1987, closed in December 1988)
Y	Magna Steyr plant, Graz, Austria (Chrysler Voyager 2003-2007, Chrysler 300, Jeep Grand Cherokee & Commander)
Y	FCA Brazil Betim plant, Betim, Minas Gerais, Brazil (Ram 700)
Z	Mitsubishi Motors Okazaki plant, Okazaki, Aichi prefecture, Japan
1	Valencia, Carabobo state, Venezuela (closed)
2	Renault plant in Maubeuge, France (Eagle Medallion)
2	Cordoba, Argentina (closed in 2001)
3	Campo Largo, Paraná state, Brazil (closed in 2001)
3	Fiat Pomigliano d'Arco plant, Pomigliano d'Arco, Italy (Dodge Hornet)
4	Arab American Vehicles Co. plant, Cairo, Egypt
5	Daimler plant, Dusseldorf, Germany (2003-2009 Dodge Sprinter)
6	China Motor Corp. plant, Taoyuan, Taiwan
6	Fiat Tofaş plant, Bursa, Turkey (Ram ProMaster City & 2017-2020 Dodge Neon)
7	Beijing Benz-Daimler Chrysler Automotive Co. plant, Beijing, China
8	Original designation for South East (Fujian) Motor Co. plant, Fuzhou, Fujian province, China
8	Automotive Industries Ltd. plant, Nazareth Illit, Israel
8	Mack Assembly plant, St. Jean Avenue & Mack Ave., Detroit, MI, USA (opened in 2021) (also known as Detroit Assembly Complex - Mack)
9	Daimler plant, Ludwigsfelde, Germany (2007-2009 Dodge Sprinter incomplete vehicle)
9	FCA Brazil Betim plant, Betim, Minas Gerais, Brazil (Ram ProMaster Rapid)
9	Mitsubishi Motors Thailand plant, Laem Chabang, Chonburi Province, Thailand (Ram 1200 - Middle East)
0	Later designation for South East (Fujian) Motor Co. plant, Fuzhou, Fujian province, China
