#VIN Code	Description
1	1300cc - 1989; 1800cc FWD 1996
2	1600cc - 1989; 1800cc Impreza 1993-95; 1800cc Impreza AWD 1996-97; 2000cc AWD Turbo 2002-05
3	1600 4WD - 1989; 3300cc FWD/AWD 1992-1995; 2200cc FWD 1996-99
4	1800cc 1985-94; 2200cc AWD 1996-2000; FB 1600cc DIT AWD 2015+
5	1800cc 4WD w/out air susp - 1988, 1989; 1800cc 4WD 1990-94 2000cc 2004-
6	2200cc 1990; 2200cc FWD/AWD 1991-95; 2200cc AWD (Ghost); 2500cc AWD 1996-2000; 2500cc AWD
7	1800cc 4WD w/ air susp; 2200cc FWD 1989-94; 2500cc AWD Turbo
8	2500cc FWD; 1200cc 4WD 1991; 1200cc AWD 1992-94; 3000cc 2001-2009; 3300cc FWD/AWD 1996-97
9	2500cc 4WD w/ & w/out air susp 1989-91; 3600cc 2008-up
A	2400cc AWD
B	?
D	2000cc DOHC Turbo Diesel
