#Code	Description
A	Toyota Land Cruiser ('10-'11, '13-'21) URJ200L
A	Lexus LX570 ('10-'11, '13-'21) URJ201L. In '20-'21, also denotes 4wd.
A	Toyota Tacoma Access Cab LWB 4wd ('16-'20) GRN305L (V6)
A	Toyota Tacoma Double Cab LWB 4wd ('16-'20) GRN305L (V6)
B	Toyota FJ Cruiser ('10-'14) GSJ10L (2wd), GSJ15L (4wd)
B	Toyota Venza ('10-'15) I4: AGV10L (2wd), AGV15L (4wd), V6: GGV10L (2wd), GGV15L (4wd)
B	Toyota Venza ('16 [Canada only]) I4: AGV10L (2wd), AGV15L (4wd), V6: GGV15L (4wd)
B	Lexus RX350 ('10-'15) GGL10L (2wd), GGL15L (4wd)
B	Lexus RX450h ('10-'15) GYL10L (2wd), GYL15L (4wd)
B	Lexus NX200t ('15-'17) AGZ10L (2wd), AGZ15L (4wd)
B	Lexus NX300 ('18-'19) AGZ10L (2wd), AGZ15L (4wd)
B	Lexus NX300h - 2wd: AYZ10L ('15-'16), 4wd: AYZ15L ('15-'19)
B	Toyota Tacoma Double Cab ELWB [4wd] ('16-'20) GRN310L (V6)
C	Toyota Sienna ('10) 2wd: GSL20L, 4wd: GSL25L
C	Toyota Tacoma Reg. Cab SWB 2wd ('10-'14) TRN220L (I4)
C	Toyota Tacoma Access Cab LWB 2wd ('10-'15) TRN225L (I4)
C	Toyota Tacoma X-Runner Access Cab LWB 2wd ('10-'13 & '14 in Canada & '14-'15 in HI) GRN225L (V6)
C	Toyota Tacoma Double Cab LWB [2wd] ('11-'15) TRN225L (I4)
C	Lexus RX350 ('16-'19) GGL20L (2wd), GGL25L (4wd)
C	Lexus RX350L ('18-'19) GGL21L (2wd), GGL26L (4wd)
C	Lexus RX450h - 2wd: GYL20L ('16), 4wd: GYL25L ('16-'19)
C	Lexus RX450hL 4wd: GYL26L ('18-'19)
C	Toyota Tacoma Access Cab LWB [2wd] ('16-'20) GRN325L (V6)
C	Toyota Tacoma Double Cab LWB [2wd] ('16-'20) GRN325L (V6)
D	Toyota Sienna ('11-'12 & '13 in Canada) I4: ASL30L (2wd)
D	Toyota Sienna ('11-'20) V6: GSL30L (2wd), GSL35L (4wd)
D	Toyota RAV4 ('10-'12) I4: ASA38L (2wd), ASA33L (4wd), V6: GSA38L (2wd), GSA33L (4wd)
D	Toyota RAV4 EV ('12-'14) QEA38L (2wd)
D	Toyota Tacoma Double Cab ELWB [2wd] ('16-'20) GRN330L (V6)
E	Toyota Highlander ('10) I4: ASU40L (2wd), V6: GSU40L (2wd), GSU45L (4wd), Hybrid: MHU48L (4wd)
E	Toyota Highlander ('11-'13) I4: ASU40L (2wd), V6: GSU40L (2wd), GSU45L (4wd), Hybrid: GVU48L (4wd)
E	Toyota Tacoma Reg. Cab SWB 4wd ('10-'14) TRN240L (I4)
E	Toyota Tacoma Access Cab LWB 4wd ('10-'15) TRN245L (I4), GRN245L (V6)
E	Toyota Tacoma Double Cab LWB 4wd ('10-'15) GRN245L (V6)
E	Toyota RAV4 ('13-'18) I4: ASA42L (2wd), ASA44L (4wd)
E	Toyota RAV4 Hybrid ('16-'18) AVA44L (Awd)
E	Toyota Tacoma Access Cab LWB 4wd ('16-'20) TRN245L (I4)
F	Scion XB ('10-'15) AZE151L
F	Toyota Tacoma Double Cab ELWB [4wd] ('10-'15) GRN250L (V6)
F	Toyota Tundra V6 2wd ('10-'13) GSK50L (Reg. Cab, SWB), GSK51L (Reg. Cab/Double Cab, LWB)
F	Toyota Tundra V6 2wd ('14) GSK51L (Reg. Cab/Double Cab, LWB)
F	Toyota Tundra 4.6L V8 2wd ('10) UPK50L (Reg. Cab, SWB), UPK51L (Reg. Cab/Double Cab/CrewMax, LWB), UPK52L (Double Cab, ELWB)
F	Toyota Tundra 4.6L V8 2wd ('11-'13) UPK50L (Reg. Cab, SWB), UPK51L (Double Cab/CrewMax, LWB)
F	Toyota Tundra 4.6L V8 2wd ('14-'19) UPK51L (Double Cab/CrewMax, LWB)
F	Toyota Tundra 5.7L V8 2wd ('10) USK50L (Reg. Cab, SWB), USK51L (Reg. Cab/Double Cab/CrewMax, LWB), USK52L (Double Cab, ELWB)
F	Toyota Tundra 5.7L V8 2wd ('11-'17) USK51L (Reg. Cab/Double Cab/CrewMax, LWB), USK52L (Double Cab, ELWB)
F	Toyota Tundra 5.7L V8 2wd ('18-'21) USK51L (Double Cab/CrewMax, LWB), USK52L (Double Cab, ELWB)
F	Toyota Tundra 4.6L V8 4wd ('10) UPK55L (Reg. Cab, SWB), UPK56L (Reg. Cab/Double Cab/CrewMax, LWB), UPK57L (Double Cab, ELWB)
F	Toyota Tundra 4.6L V8 4wd ('11-'19) UPK56L (Double Cab/CrewMax, LWB)
F	Toyota Tundra 5.7L V8 4wd ('10-'13) USK55L (Reg. Cab, SWB), USK56L (Reg. Cab/Double Cab/CrewMax, LWB), USK57L (Double Cab, ELWB)
F	Toyota Tundra 5.7L V8 4wd ('14-'17) USK56L (Reg. Cab/Double Cab/CrewMax, LWB), USK57L (Double Cab, ELWB)
F	Toyota Tundra 5.7L V8 4wd ('18-'21) USK56L (Double Cab/CrewMax, LWB), USK57L (Double Cab, ELWB)
F	Lexus GX460 ('10-'19) URJ150L
F	Toyota Highlander ('14-'19) I4: ASU50L (2wd), V6: GSU50L (2wd), GSU55L (4wd), Hybrid: GVU58L (4wd)
F	Toyota RAV4 ('19-'21) I4: AXAA52L (2wd), AXAA54L (4wd)
F	Toyota RAV4 Hybrid: ('19-'21) AXAH54L (Nickel-metal hydride Battery, Awd), ('21-) AXAL54L (Lithium-ion Battery, Awd)
F	Toyota RAV4 Prime ('21-) AXAP54L (Lithium-ion Battery, Awd)
G	Toyota Sequoia ('10-'12) 4.6L V8: UPK60L (2wd), UPK65L (4wd), 5.7L V8: USK60L (2wd), USK65L (4wd)
G	Toyota Sequoia ('13-'20) 5.7L V8: USK60L (2wd), USK65L (4wd)
