#Code	Description
B	4DR Sedan 2WD (Yaris ['10-'12], Corolla ['10-'19], Camry ['10-'19], Avalon ['10-'19], Mirai ['16-'20], Lexus HS ['10-'12], ES ['10-'19], IS ['10-'19],
GS ['10-'11, '13-'19], GS F ['16-'20], LS ['10-'19])
C	4DR Sedan 4WD (Lexus IS250 AWD '10-'15, IS300 AWD '16-'19, IS350 AWD '11-'19, GS350 AWD '10-'11, '13-'19, LS460 AWD '10-'17, LS500 AWD '18-'19, LS500h AWD '18-'19)
D	3DR Liftback Coupe 2WD (Scion tC '10)
D	4DR Sedan LWB 4WD (Lexus LS460L AWD '10-'17, LS600hL '10-'16)
F	2DR Convertible 2WD (Lexus SC430 '10, IS250C/IS350C '10-'15)
G	4DR Sedan LWB 2WD (Lexus LS460L '10-'17)
H	2DR Coupe 2WD (Lexus LFA '12, RC200t '16-'17, RC300 RWD '18-'19, RC350 '15-'19, RC F '15-'19, LC500 '18-'19, LC500h '18-'19)
J	3DR Liftback 2WD (Yaris 3-door '10-'18 & '19 in Canada, Scion tC '11-'16, Scion iQ '12-'15, Scion iQ EV '13)
K	5DR Liftback or Hatchback 2WD (Yaris 5-door '10-'18 & '19 in Canada, Lexus CT200h '11-'17, Prius C '12-'19, Scion iM '16, Corolla iM '17-'18, Corolla Hatchback '19) / 5DR Sedan 2WD (Prius '10-'22, Scion xD '10-'14, C-HR '18-'22) / 5DR Sedan 2WD w/torsion beam rear suspension (Matrix Base model & S 2wd '10-'11, Matrix L & S 2wd '12-'13, Canada: Matrix '14)
L	5DR Sedan 4WD (Prius AWD-e '19-'22)
L	5DR Sedan 4WD w/IRS (Matrix S 4wd '10-'13)
M	5DR Sedan 2WD w/IRS (Matrix XRS - US: '10, Canada: '10-'13)
S	2DR Coupe 4WD (Lexus RC300 AWD '16-'19, RC350 AWD '15-'19)
U	5DR Wagon 4WD (Lexus UX250h '19)
Y	5DR Wagon 2WD (Lexus UX200 '19)
Z	5DR Wagon 2WD (Prius V 2012-2017 & 2018 in Canada)
A	4DR Sedan (Mirai '21-, Crown '23-)
