#Code	Description	Application
1	Manual Belts w/Dual Front Airbags, Front- & Rear-seat Side Airbags, Front to Rear Side Curtain Airbags, and Driver & Front Passenger Knee Airbags	Lexus HS250h '10-'12, ES350 '10-'19, ES300h '13-'19, GS200t '16-'17, GS300 '18-'19, GS350 '10-'11, '13-'20, GS460 '10-'11, GS450h '10-'11, '13-'18, GS F '16-'20, LS460 '10-'17 (Opt.), LS600hL '10-'12 (Opt.), LS600hL '13-'16, LS500 '18-'19, LS500h '18-'19, RX350 '10-'15, RX450h '10-'15, IS250 '14-'15, IS200t '16-'17, IS300 RWD '18-'19, IS300 AWD '16-'19, IS350 '14-'19, Camry '12-'19, Avalon '13-'19
2	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, and Driver & Front Passenger Knee Airbags	Lexus SC430 '10, IS250C, IS350C '10-'15
3	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, and Driver's Knee Airbag	Avalon '10-'12, Camry '10-'11, Prius '10-'15, Prius V '12-'17 & '18 in Canada, Scion tC '10, Venza '10-'15 & '16 in Canada, Highlander '10-'13, Sienna '11-'14
3	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, and Driver's Knee Airbag (Though not reflected in the VIN, a Front passenger seat cushion airbag is also standard.)	Sienna '15-'20
3	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, Driver's Knee Airbag, and Front passenger seat cushion airbag	RAV4 Prime '21-
4	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, and Side Curtain Airbags for all rows	Corolla '10-'13, Matrix '10-'13 & in Canada '14, Yaris hatchback '10-'11, Yaris sedan '10-'12, Scion xD '10-'12, Scion xB '10-'15, Sienna '10, FJ Cruiser '10-'14, Tacoma '10-'15
4	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, and Side Curtain Airbags for 1st 2 rows	RAV4 '10-'12, RAV4 EV '12-'14
5	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, and Driver & Front Passenger Knee Airbags	4Runner '10-'21, Sequoia '10-'21, Tundra '10-'21, Scion tC '11-'16, Tacoma '16-'20, Lexus LS460 '10-'17, LS600hL '10-'12, IS250/IS350 '10-'13, IS F '10-'14, CT200h '11-'17, RC200t '16-'17, RC300 RWD '18-'19, RC300 AWD '16-'19, RC350 '15-'19, RC F '15-'19, LC500 '18-'19, LC500h '18-'19
7	Manual Belts w/Dual Front Airbags, First & Second Row Side Airbags, Side Curtain Airbags for all 3 rows, and Driver & Front Passenger Knee Airbags	Land Cruiser '10-'11, '13-'21, Lexus GX460 '10-'23, LX570 '10-'11, '13-'21
8	Manual Belts w/Dual Front Airbags and Driver's Knee Airbag	Lexus LFA '12
A	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, and Driver & Front Passenger Knee Airbags	Mirai '21-, Crown '23-, bZ4X '23-, Subaru Solterra '23-, Lexus RZ450e '23-
J	Manual Belts w/Dual Front Airbags, Front- & Rear-seat Side Airbags, Front to Rear Side Curtain Airbags, and Driver & Front Passenger Knee Airbags	Lexus UX200 '19-, UX250h '19-
K	Manual Belts w/Dual Front Airbags, First & Second Row Side Airbags, Side Curtain Airbags for all 3 rows, Driver's Knee Airbag, and Front passenger seat cushion airbag	Lexus RX350L '18-'19, RX450hL '18-'19, Sienna '21-
L	Manual Belts w/Dual Front Airbags, Front- & Rear-seat Side Airbags, Side Curtain Airbags for all rows, Driver & Front Passenger Knee Airbags, and Outboard Rear seat cushion airbags	Lexus LS500 '18-'19 (Opt.), LS500h '18-'19 (Opt.)
M	Manual Belts w/Dual Front Airbags, Front- & Rear-seat Side Airbags, Side Curtain Airbags for all rows, Driver's Knee Airbag, and Front passenger seat cushion airbag	Lexus RX350 '16-'19, RX450h '16-'19, C-HR '18-'22, Prius '21-'22, Prius Prime '21-'22
P	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, and Driver & Front passenger seat cushion airbags	Scion xD '13-'14
R	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, Driver's Knee Airbag, and Front passenger seat cushion airbag	RAV4 '13-'21, RAV4 Hybrid '16-'21, Corolla '14-'19, Scion iM '16, Corolla iM '17-'18, Highlander '14-'21, Prius '16-'20, Prius Prime '17-'20, Mirai '16-'20, Lexus NX200t '15-'17, NX300 '18-'19, NX300h '15-'19
T	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, Driver's Knee Airbag, and Driver & Front passenger seat cushion airbags	Prius C '12-'19
U	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, Driver's Knee Airbag, and Driver & Front passenger seat cushion airbags	Yaris hatchback '12-'18 & '19 in Canada
X	Manual Belts w/Dual Front Airbags, Front-seat Side Airbags, Side Curtain Airbags for all rows, Driver & Front Passenger Knee Airbags, Driver & Front passenger seat cushion airbags, and Rear Window airbag	Scion iQ '12-'15, Scion iQ EV '13
